timestamp,raw_value,attention
1615248228.731369,32,53
1615248228.7377641,-21,53
1615248228.7377641,-21,53
1615248228.7377641,-21,53
1615248228.7377641,-21,53
1615248228.77683,-10,53
1615248228.7890382,-7,53
1615248228.7984052,129,53
1615248228.79901,164,53
1615248228.79901,164,53
1615248228.79901,164,53
1615248228.833782,108,53
1615248228.8436239,157,53
1615248228.8512268,21,53
1615248228.858952,-41,53
1615248228.858952,-41,53
1615248228.858952,-41,53
1615248228.858952,-41,53
1615248228.897438,-104,53
1615248228.907388,105,53
1615248228.9161332,-8,53
1615248228.918545,-40,53
1615248228.918545,-40,53
1615248228.918545,-40,53
1615248228.918545,-40,53
1615248228.960874,-56,53
1615248228.968572,18,53
1615248228.9760928,-74,53
1615248228.978545,-88,53
1615248228.978545,-88,53
1615248228.978545,-88,53
1615248228.978545,-88,53
1615248229.016073,-99,53
1615248229.026057,64,53
1615248229.0336199,-25,53
1615248229.0385711,-40,53
1615248229.0385711,-40,53
1615248229.0385711,-40,53
1615248229.0385711,-40,53
1615248229.0385711,-40,53
1615248229.085129,-46,53
1615248229.098031,50,53
1615248229.098838,50,53
1615248229.098838,50,53
1615248229.098838,50,53
1615248229.098838,50,53
1615248229.1363468,34,53
1615248229.14623,101,53
1615248229.154009,-27,53
1615248229.158842,-74,53
1615248229.158842,-74,53
1615248229.158842,-74,53
1615248229.19275,-76,53
1615248229.201466,120,53
1615248229.2088552,20,53
1615248229.2176828,-69,53
1615248229.2176828,-69,53
1615248229.2176828,-69,53
1615248229.2176828,-69,53
1615248229.2550578,-124,53
1615248229.257623,-136,53
1615248229.26989,19,53
1615248229.278689,-39,53
1615248229.278689,-39,53
1615248229.278689,-39,53
1615248229.278689,-39,53
1615248229.278689,-39,53
1615248229.323616,113,40
1615248229.3288908,74,40
1615248229.338948,-70,40
1615248229.338948,-70,40
1615248229.338948,-70,40
1615248229.338948,-70,40
1615248229.376435,-65,40
1615248229.376435,-65,40
1615248229.3963819,96,40
1615248229.397751,101,40
1615248229.397751,101,40
1615248229.397751,101,40
1615248229.432493,86,40
1615248229.4417222,114,40
1615248229.451138,-33,40
1615248229.4586308,-88,40
1615248229.4586308,-88,40
1615248229.4586308,-88,40
1615248229.4586308,-88,40
1615248229.4974039,-116,40
1615248229.506154,146,40
1615248229.5136058,5,40
1615248229.5185752,-41,40
1615248229.5185752,-41,40
1615248229.5185752,-41,40
1615248229.5185752,-41,40
1615248229.554844,-29,40
1615248229.564864,75,40
1615248229.573534,-14,40
1615248229.578517,6,40
1615248229.578517,6,40
1615248229.578517,6,40
1615248229.578517,6,40
1615248229.616072,-56,40
1615248229.626053,80,40
