timestamp,raw_value,attention
1615249040.517204,12,66
1615249040.529545,53,66
1615249040.5380878,-19,66
1615249040.547188,-21,66
1615249040.554722,-52,66
1615249040.5643,-5,66
1615249040.571796,6,66
1615249040.578022,-28,66
1615249040.578022,-28,66
1615249040.601822,122,66
1615249040.6108952,60,66
1615249040.6183958,75,66
1615249040.6282802,66,66
1615249040.638409,66,66
1615249040.648413,51,66
1615249040.6580858,55,66
1615249040.6692438,88,66
1615249040.6767528,54,66
1615249040.690958,53,66
1615249040.6971352,96,66
1615249040.7080781,43,66
1615249040.714575,28,66
1615249040.7255502,23,66
1615249040.7355368,19,66
1615249040.7417479,35,66
1615249040.753023,25,66
1615249040.7630222,57,66
1615249040.771778,60,66
1615249040.776862,40,66
1615249040.776862,40,66
1615249040.776862,40,66
1615249040.810574,42,66
1615249040.820433,194,66
1615249040.827059,124,66
1615249040.8421981,60,66
1615249040.8509839,36,66
1615249040.859676,12,66
1615249040.8709178,37,66
1615249040.8709178,37,66
1615249040.8929641,83,66
1615249040.902035,80,66
1615249040.910927,32,66
1615249040.918323,-2,66
1615249040.92824,29,66
1615249040.936922,73,66
1615249040.947027,28,66
1615249040.957173,-29,66
1615249040.964718,-8,66
1615249040.9747388,33,66
1615249040.982153,-29,66
1615249040.992243,-41,66
1615249040.999681,-41,66
1615249041.009504,-85,66
1615249041.019543,-50,66
1615249041.029396,-42,66
1615249041.038413,-18,66
1615249041.047168,23,66
1615249041.055923,45,66
1615249041.068321,43,66
1615249041.075927,4,66
1615249041.0782819,8,66
1615249041.0782819,8,66
1615249041.1134028,18,66
1615249041.1220639,203,66
1615249041.130892,102,66
1615249041.1384041,82,66
1615249041.1482859,55,66
1615249041.1594582,26,66
1615249041.165938,39,66
1615249041.177019,9,66
1615249041.186929,18,66
1615249041.1996858,-22,66
1615249041.207156,-37,66
1615249041.216796,-40,66
1615249041.2280478,7,66
1615249041.235519,84,66
1615249041.24801,164,66
1615249041.25552,182,66
1615249041.266758,100,66
1615249041.275554,72,66
1615249041.2854998,17,67
1615249041.2929878,84,67
1615249041.304227,55,67
1615249041.311832,102,67
1615249041.319295,147,67
1615249041.328064,176,67
1615249041.336735,165,67
1615249041.3430011,144,67
1615249041.350533,84,67
1615249041.36427,-49,67
1615249041.374227,-10,67
1615249041.377964,50,67
1615249041.377964,50,67
1615249041.377964,50,67
1615249041.377964,50,67
1615249041.422795,231,67
1615249041.430502,161,67
1615249041.43922,98,67
1615249041.4480178,49,67
1615249041.458391,52,67
1615249041.4684548,40,67
1615249041.475894,17,67
1615249041.4855838,42,67
1615249041.493397,-7,67
