timestamp,raw_value,attention
1615248865.3333519,68,43
1615248865.3435872,34,43
1615248865.351031,19,43
1615248865.3610508,9,43
1615248865.368434,-2,43
1615248865.3784661,-18,43
1615248865.388397,-6,43
1615248865.3985522,34,43
1615248865.405699,34,43
1615248865.415714,49,43
1615248865.4247942,17,43
1615248865.4310322,11,43
1615248865.440953,55,43
1615248865.452266,39,43
1615248865.46073,60,43
1615248865.468549,37,43
1615248865.4760342,41,43
1615248865.488609,44,43
1615248865.4960158,75,43
1615248865.503445,70,43
1615248865.5123641,73,43
1615248865.520832,54,43
1615248865.530724,9,43
1615248865.538195,55,43
1615248865.549333,39,43
1615248865.5581381,40,43
1615248865.5668778,34,43
1615248865.575768,48,43
1615248865.576946,56,43
1615248865.576946,56,43
1615248865.576946,56,43
1615248865.614652,88,43
1615248865.6235158,125,43
1615248865.6402318,60,43
1615248865.649769,43,43
1615248865.663541,40,43
1615248865.672286,44,43
1615248865.679787,16,43
1615248865.691103,35,43
1615248865.702271,6,43
1615248865.7144818,-13,43
1615248865.723508,-13,43
1615248865.732269,32,43
1615248865.741138,49,43
1615248865.749782,72,43
1615248865.75856,76,43
1615248865.767286,90,43
1615248865.778413,88,43
1615248865.785872,67,43
1615248865.796048,66,43
1615248865.804783,45,43
1615248865.819777,59,43
1615248865.829796,17,43
1615248865.841053,32,43
1615248865.854765,68,43
1615248865.864764,12,43
1615248865.872179,38,43
1615248865.878419,36,43
1615248865.878419,36,43
1615248865.878419,36,43
1615248865.914565,39,43
1615248865.923733,147,43
1615248865.931026,107,43
1615248865.940917,48,43
1615248865.952277,5,43
1615248865.958549,41,43
1615248865.9685571,28,43
1615248865.978613,38,43
1615248865.985915,50,43
1615248865.996033,59,43
1615248866.004489,33,43
1615248866.013355,1,43
1615248866.02074,6,43
1615248866.030719,10,43
1615248866.038214,22,43
1615248866.051996,74,43
1615248866.0594401,72,43
1615248866.06938,69,43
1615248866.076852,34,43
1615248866.085655,-12,43
1615248866.0931242,-9,43
1615248866.100666,51,43
1615248866.1093729,49,43
1615248866.118138,71,43
1615248866.125653,72,43
1615248866.134474,56,43
1615248866.145631,96,43
1615248866.1532018,52,43
1615248866.161898,69,43
1615248866.170649,51,43
1615248866.176862,59,43
1615248866.176862,59,43
1615248866.176862,59,43
1615248866.176862,59,43
1615248866.218195,61,43
1615248866.2263758,144,43
1615248866.235765,138,43
1615248866.24564,107,43
1615248866.253136,27,43
1615248866.264423,-28,43
1615248866.2718751,-51,43
1615248866.278197,2,43
1615248866.278197,2,43
1615248866.278197,2,43
1615248866.278197,2,43
1615248866.321666,91,34
1615248866.3321002,75,34
1615248866.33977,8,34
1615248866.349788,-1,34
1615248866.357292,-7,34
1615248866.3711371,16,34
1615248866.372277,27,34
1615248866.391032,44,34
1615248866.402362,80,34
1615248866.411032,35,34
1615248866.423556,5,34
1615248866.434775,6,34
1615248866.444406,-24,34
1615248866.4585578,-20,34
1615248866.465931,20,34
1615248866.4735339,-12,34
1615248866.478507,27,34
1615248866.478507,27,34
1615248866.478507,27,34
1615248866.478507,27,34
1615248866.5196538,43,34
1615248866.529696,66,34
1615248866.538197,58,34
1615248866.5485818,55,34
1615248866.555705,72,34
1615248866.563246,40,34
1615248866.575781,-8,34
1615248866.586914,-6,34
1615248866.5944011,-7,34
1615248866.60312,-33,34
1615248866.6143591,13,34
1615248866.622248,56,34
1615248866.632065,55,34
1615248866.6421828,49,34
1615248866.654816,41,34
1615248866.66328,50,34
1615248866.6731331,41,34
1615248866.6806998,-6,34
1615248866.688326,21,34
1615248866.702264,41,34
1615248866.708407,56,34
1615248866.719779,81,34
1615248866.7297652,43,34
1615248866.7397718,40,34
1615248866.749664,-6,34
1615248866.760921,7,34
1615248866.768277,0,34
1615248866.7769248,36,34
1615248866.7780962,37,34
1615248866.7780962,37,34
1615248866.7780962,37,34
1615248866.817264,55,34
1615248866.829691,84,34
1615248866.832132,65,34
1615248866.84653,19,34
1615248866.8545852,33,34
1615248866.864779,2,34
1615248866.872282,40,34
1615248866.882265,58,34
1615248866.8896499,24,34
1615248866.902307,26,34
1615248866.91104,56,34
1615248866.921024,28,34
1615248866.933333,33,34
1615248866.944653,26,34
1615248866.9522,50,34
1615248866.959681,71,34
1615248866.9697611,108,34
1615248866.982219,49,34
1615248866.9924061,66,34
1615248867.001054,9,34
1615248867.010627,26,34
1615248867.019546,28,34
1615248867.030633,56,34
1615248867.041933,114,34
1615248867.0519402,115,34
1615248867.061855,117,34
1615248867.0731468,53,34
1615248867.078115,37,34
1615248867.078115,37,34
1615248867.078115,37,34
1615248867.1132002,23,34
1615248867.1207418,129,34
1615248867.12338,122,34
1615248867.136977,58,34
1615248867.145644,145,34
1615248867.1544828,52,34
1615248867.1656609,9,34
1615248867.176855,2,34
1615248867.188159,-9,34
1615248867.200601,-21,34
1615248867.211879,-1,34
1615248867.224385,52,34
1615248867.235611,41,34
1615248867.246858,21,34
1615248867.25935,42,34
1615248867.270596,57,34
1615248867.2781062,57,34
1615248867.2781062,57,34
1615248867.2781062,57,34
1615248867.2781062,57,34
1615248867.319387,200,35
1615248867.329443,119,35
1615248867.336965,49,35
1615248867.344398,-5,35
1615248867.353136,-13,35
1615248867.3643851,-2,35
1615248867.374414,27,35
1615248867.3781812,34,35
1615248867.3781812,34,35
1615248867.3781812,34,35
1615248867.415721,20,35
1615248867.426943,75,35
1615248867.435672,-58,35
1615248867.441893,-72,35
1615248867.451883,-21,35
1615248867.4618921,-17,35
1615248867.4694378,-19,35
1615248867.479423,10,35
1615248867.4868438,16,35
1615248867.495604,32,35
1615248867.506882,53,35
1615248867.514385,55,35
1615248867.524472,23,35
1615248867.532531,35,35
1615248867.5406651,9,35
1615248867.548117,38,35
1615248867.5556,50,35
1615248867.5657222,91,35
1615248867.575605,118,35
1615248867.585804,86,35
1615248867.594669,25,35
1615248867.6069078,21,35
1615248867.615615,-3,35
1615248867.625652,3,35
1615248867.63435,16,35
1615248867.6419132,39,35
1615248867.653266,96,35
1615248867.665601,123,35
1615248867.673169,115,35
1615248867.678122,92,35
1615248867.678122,92,35
1615248867.678122,92,35
1615248867.71321,101,35
1615248867.723191,101,35
1615248867.730678,98,35
1615248867.7435808,49,35
1615248867.751028,66,35
1615248867.760917,41,35
1615248867.7735481,64,35
1615248867.778543,40,35
1615248867.778543,40,35
1615248867.8033888,86,35
1615248867.815943,-24,35
1615248867.827264,-7,35
1615248867.83979,32,35
1615248867.8510568,65,35
1615248867.85853,93,35
1615248867.8684108,112,35
1615248867.872299,86,35
1615248867.8882382,38,35
1615248867.897287,56,35
1615248867.9060538,29,35
1615248867.913522,29,35
1615248867.923249,33,35
1615248867.931031,27,35
1615248867.940938,52,35
1615248867.952267,66,35
1615248867.9609559,48,35
1615248867.9695559,16,35
1615248867.9785018,-27,35
1615248867.9785018,-27,35
1615248867.9785018,-27,35
1615248867.9785018,-27,35
1615248868.021045,92,35
1615248868.0306618,104,35
1615248868.040653,48,35
1615248868.052156,9,35
1615248868.05951,18,35
1615248868.067109,23,35
1615248868.077091,2,35
1615248868.09105,-14,35
1615248868.0985339,-28,35
1615248868.108515,6,35
1615248868.118208,18,35
1615248868.1285372,68,35
1615248868.138252,92,35
1615248868.145809,87,35
1615248868.1557288,65,35
1615248868.163174,24,35
1615248868.1744242,26,35
1615248868.188252,28,35
1615248868.1943748,16,35
1615248868.201917,50,35
1615248868.21436,44,35
1615248868.2231412,53,35
1615248868.233196,71,35
1615248868.2418969,55,35
1615248868.250647,92,35
1615248868.26064,84,35
1615248868.2681448,69,35
1615248868.2768939,45,35
1615248868.278096,21,35
1615248868.278096,21,35
1615248868.278096,21,35
1615248868.315657,18,37
1615248868.3269289,156,37
1615248868.33818,71,37
1615248868.350632,66,37
1615248868.3606322,56,37
1615248868.368149,24,37
1615248868.3781319,5,37
1615248868.385629,43,37
1615248868.394361,71,37
1615248868.403265,37,37
1615248868.4136808,50,37
1615248868.419806,43,37
1615248868.429704,76,37
1615248868.43856,76,37
1615248868.448264,101,37
1615248868.455851,82,37
1615248868.4657521,71,37
1615248868.4747698,43,37
1615248868.486173,45,37
1615248868.493539,22,37
1615248868.503385,33,37
1615248868.514696,12,37
1615248868.5247722,90,37
1615248868.53603,75,37
1615248868.5482838,44,37
1615248868.559436,61,37
1615248868.5694132,26,37
1615248868.576916,18,37
1615248868.576916,18,37
1615248868.576916,18,37
1615248868.576916,18,37
1615248868.613172,6,37
1615248868.618117,22,37
1615248868.623327,124,37
1615248868.638526,77,37
1615248868.645977,74,37
1615248868.656051,34,37
1615248868.666029,-8,37
1615248868.6735559,-34,37
1615248868.681036,-53,37
1615248868.69103,-43,37
1615248868.699617,-20,37
1615248868.708432,8,37
1615248868.715811,50,37
1615248868.7257679,40,37
1615248868.735857,64,37
1615248868.74335,55,37
1615248868.753359,58,37
1615248868.7633631,52,37
1615248868.770708,50,37
1615248868.778343,40,37
1615248868.7857249,24,37
1615248868.795729,38,37
1615248868.804471,24,37
1615248868.813239,58,37
1615248868.82323,61,37
1615248868.830879,68,37
1615248868.8407948,65,37
1615248868.853369,3,37
1615248868.864789,36,37
1615248868.874667,93,37
1615248868.878506,67,37
1615248868.878506,67,37
1615248868.878506,67,37
1615248868.878506,67,37
1615248868.921429,183,37
1615248868.931028,52,37
1615248868.9385269,41,37
1615248868.94846,54,37
1615248868.958493,56,37
1615248868.9685361,53,37
1615248868.976031,67,37
1615248868.987285,80,37
1615248868.9960902,53,37
1615248869.003192,7,37
1615248869.0109708,1,37
1615248869.0233338,-8,37
1615248869.0307698,25,37
1615248869.040697,73,37
1615248869.0481799,55,37
1615248869.0556889,76,37
1615248869.059402,73,37
1615248869.0782049,70,37
1615248869.086953,132,37
1615248869.098124,-1,37
1615248869.1069381,-25,37
1615248869.118146,-12,37
1615248869.1281211,-55,37
1615248869.1343958,-46,37
1615248869.143137,9,37
1615248869.15194,58,37
1615248869.163124,115,37
1615248869.170729,88,37
1615248869.1769679,91,37
1615248869.1769679,91,37
1615248869.1769679,91,37
1615248869.1769679,91,37
1615248869.214429,91,37
1615248869.224361,135,37
1615248869.2331252,65,37
1615248869.244417,72,37
1615248869.252012,86,37
1615248869.259399,80,37
1615248869.268146,6,37
1615248869.277042,20,37
1615248869.2798378,23,37
1615248869.2933388,41,23
1615248869.3010309,25,23
1615248869.3097658,12,23
1615248869.319587,-19,23
1615248869.331029,-67,23
1615248869.339777,3,23
1615248869.349777,24,23
1615248869.357291,48,23
1615248869.364769,38,23
1615248869.372273,1,23
1615248869.386036,1,23
1615248869.3933702,66,23
1615248869.402286,69,23
1615248869.40984,34,23
1615248869.421052,25,23
1615248869.430756,34,23
1615248869.43952,77,23
1615248869.447422,49,23
1615248869.4560268,72,23
1615248869.465908,74,23
1615248869.475701,18,23
1615248869.478349,25,23
1615248869.478349,25,23
1615248869.478349,25,23
1615248869.514789,36,23
1615248869.5234911,179,23
1615248869.5344121,70,23
1615248869.545635,55,23
1615248869.558135,-25,23
1615248869.565655,-27,23
1615248869.575694,32,23
1615248869.58346,32,23
1615248869.59071,19,23
1615248869.600621,16,23
1615248869.61187,70,23
1615248869.6206238,76,23
1615248869.630614,4,23
1615248869.639358,-6,23
1615248869.645628,25,23
1615248869.655688,-6,23
1615248869.6658828,-2,23
1615248869.6747708,-44,23
1615248869.687267,53,23
1615248869.694667,83,23
1615248869.706012,72,23
1615248869.714779,113,23
1615248869.722274,119,23
1615248869.733324,55,23
1615248869.739896,48,23
1615248869.749778,52,23
1615248869.759798,55,23
1615248869.769779,42,23
1615248869.778529,70,23
1615248869.778529,70,23
1615248869.778529,70,23
1615248869.813538,53,23
1615248869.82465,121,23
1615248869.833405,67,23
1615248869.8410208,54,23
1615248869.8510342,8,23
1615248869.860908,48,23
1615248869.868521,36,23
1615248869.879764,33,23
1615248869.889756,57,23
1615248869.8959308,32,23
1615248869.907146,54,23
1615248869.9160168,22,23
1615248869.9247649,42,23
1615248869.933234,68,23
1615248869.942016,-3,23
1615248869.9522681,6,23
1615248869.959761,17,23
1615248869.9697652,48,23
1615248869.979786,44,23
1615248869.9896588,35,23
1615248869.997264,20,23
1615248870.005672,44,23
1615248870.017268,48,23
1615248870.0244749,91,23
1615248870.032259,90,23
1615248870.042295,132,23
1615248870.051986,69,23
1615248870.0621738,105,23
1615248870.072304,96,23
1615248870.0773,89,23
1615248870.0773,89,23
1615248870.0773,89,23
1615248870.0773,89,23
1615248870.116916,91,23
1615248870.123412,148,23
1615248870.140703,109,23
1615248870.1519349,40,23
1615248870.160645,29,23
1615248870.17071,24,23
1615248870.184412,-6,23
1615248870.196864,-23,23
1615248870.2081301,-30,23
1615248870.219348,-40,23
1615248870.2256398,11,23
1615248870.2357051,85,23
1615248870.245643,57,23
1615248870.2543628,51,23
1615248870.2644029,88,23
1615248870.273443,67,23
1615248870.2784991,36,23
1615248870.2784991,36,23
1615248870.2784991,36,23
1615248870.312295,12,35
1615248870.324409,99,35
1615248870.335603,-8,35
1615248870.339353,-2,35
1615248870.3559308,9,35
1615248870.363429,132,35
1615248870.372148,58,35
1615248870.3783438,50,35
1615248870.3783438,50,35
1615248870.3783438,50,35
1615248870.3783438,50,35
1615248870.4210792,10,35
1615248870.430942,35,35
1615248870.4371572,-4,35
1615248870.446995,11,35
1615248870.454657,17,35
1615248870.465738,25,35
1615248870.474484,29,35
1615248870.48316,6,35
1615248870.493168,11,35
1615248870.5031629,19,35
1615248870.51458,43,35
1615248870.522182,23,35
1615248870.532137,36,35
1615248870.5422888,48,35
1615248870.551907,71,35
1615248870.559419,72,35
1615248870.566847,10,35
1615248870.5795991,19,35
1615248870.59074,-44,35
1615248870.601892,9,35
1615248870.614521,-25,35
1615248870.62204,-1,35
1615248870.630789,-3,35
1615248870.6395142,18,35
1615248870.6495192,100,35
1615248870.658279,69,35
1615248870.6670148,52,35
1615248870.677118,53,35
1615248870.677118,53,35
1615248870.677118,53,35
1615248870.677118,53,35
1615248870.716164,49,35
1615248870.730926,100,35
1615248870.739666,55,35
1615248870.749761,28,35
1615248870.760938,58,35
1615248870.768528,73,35
1615248870.7812212,6,35
1615248870.788555,-27,35
1615248870.7997708,24,35
1615248870.808565,1,35
1615248870.819778,58,35
1615248870.831028,65,35
1615248870.8397608,24,35
1615248870.85104,45,35
1615248870.862201,41,35
1615248870.8737679,44,35
1615248870.887202,38,35
1615248870.899765,112,35
1615248870.9073138,55,35
1615248870.921172,33,35
1615248870.931045,0,35
1615248870.9408262,19,35
1615248870.951036,55,35
1615248870.9585469,17,35
1615248870.968532,81,35
1615248870.978518,84,35
1615248870.987177,43,35
1615248870.997267,4,35
1615248871.004506,52,35
1615248871.014601,20,35
