,timestamp,raw_value,attention,delta
0,0,21,37,0.0
1,1,20,37,0.009959936141967773
2,2,52,50,0.018815040588378906
3,3,87,50,0.028702735900878906
4,4,35,50,0.03873586654663086
5,5,16,50,0.04764723777770996
6,6,-21,50,0.05478668212890625
7,7,-10,50,0.062274932861328125
8,8,-21,50,0.07243084907531738
9,9,20,50,0.08262491226196289
10,10,54,50,0.09262800216674805
11,11,83,50,0.10116887092590332
12,12,99,50,0.10606694221496582
13,13,99,50,0.10606694221496582
14,14,99,50,0.10606694221496582
15,15,99,50,0.10606694221496582
16,16,102,50,0.14342570304870605
17,17,179,50,0.15342283248901367
18,18,52,50,0.16224002838134766
19,19,38,50,0.16863489151000977
20,20,87,50,0.17990779876708984
21,21,54,50,0.18755698204040527
22,22,64,50,0.19725680351257324
23,23,82,50,0.20477581024169922
24,24,48,50,0.21466279029846191
25,25,60,50,0.22094082832336426
26,26,35,50,0.2310018539428711
27,27,53,50,0.23842787742614746
28,28,26,50,0.24845480918884277
29,29,20,50,0.25592589378356934
30,30,50,50,0.2634458541870117
31,31,9,50,0.2710537910461426
32,32,19,50,0.281358003616333
33,33,36,50,0.29122400283813477
34,34,25,50,0.30132579803466797
35,35,16,50,0.31239843368530273
36,36,28,50,0.3187839984893799
37,37,-11,50,0.3287074565887451
38,38,4,50,0.3375728130340576
39,39,-8,50,0.34755778312683105
40,40,23,50,0.35754823684692383
41,41,3,50,0.3674318790435791
42,42,12,50,0.3775508403778076
43,43,11,50,0.3864297866821289
44,44,12,50,0.39256978034973145
45,45,36,50,0.4024357795715332
46,46,17,50,0.40601491928100586
47,47,17,50,0.40601491928100586
48,48,17,50,0.40601491928100586
49,49,27,50,0.4425036907196045
50,50,140,50,0.45123982429504395
51,51,29,50,0.4575819969177246
52,52,10,50,0.4650838375091553
53,53,-24,50,0.4749908447265625
54,54,-24,50,0.4749908447265625
55,55,-14,50,0.49131274223327637
56,56,120,50,0.5012936592102051
57,57,57,50,0.5075597763061523
58,58,80,50,0.5188052654266357
59,59,55,50,0.5275650024414062
60,60,60,50,0.5350520610809326
61,61,48,50,0.5450706481933594
62,62,60,50,0.5526027679443359
63,63,60,50,0.5625278949737549
64,64,-8,50,0.5725409984588623
65,65,-13,50,0.5801990032196045
66,66,28,50,0.5900490283966064
67,67,66,50,0.597437858581543
68,68,35,50,0.6088249683380127
69,69,32,50,0.6173994541168213
70,70,42,50,0.6250739097595215
71,71,54,50,0.6350488662719727
72,72,53,50,0.6425919532775879
73,73,6,50,0.6525008678436279
74,74,3,50,0.6622509956359863
75,75,44,50,0.6699337959289551
76,76,81,50,0.6771998405456543
77,77,57,50,0.6872446537017822
78,78,39,50,0.6972386837005615
79,79,77,50,0.7059698104858398
80,80,77,50,0.7059698104858398
81,81,77,50,0.7059698104858398
82,82,77,50,0.7059698104858398
83,83,84,50,0.7409908771514893
84,84,135,50,0.7489607334136963
85,85,36,50,0.7583892345428467
86,86,-11,50,0.7658779621124268
87,87,-24,50,0.7734029293060303
88,88,12,50,0.7808663845062256
89,89,76,50,0.7909226417541504
90,90,36,50,0.7996227741241455
91,91,77,50,0.8084070682525635
92,92,0,50,0.815924882888794
93,93,-49,50,0.8234918117523193
94,94,-44,50,0.8259749412536621
95,95,-44,50,0.8259749412536621
96,96,128,50,0.8496417999267578
97,97,131,50,0.857158899307251
98,98,84,50,0.864661693572998
99,99,40,50,0.8746988773345947
100,100,40,50,0.8821938037872314
101,101,-6,50,0.8921847343444824
102,102,41,50,0.8983838558197021
103,103,57,50,0.9096419811248779
104,104,44,50,0.9159276485443115
105,105,44,50,0.9274687767028809
106,106,18,50,0.9361999034881592
107,107,9,50,0.9437849521636963
108,108,23,50,0.9512898921966553
109,109,32,50,0.958791971206665
110,110,49,50,0.9688127040863037
111,111,68,50,0.9800527095794678
112,112,54,50,0.9862847328186035
113,113,80,50,0.996065616607666
114,114,74,50,1.0026068687438965
115,115,51,50,1.0061378479003906
116,116,51,50,1.0061378479003906
117,117,51,50,1.0061378479003906
118,118,3,50,1.0425786972045898
119,119,136,60,1.0524258613586426
120,120,74,60,1.0599286556243896
121,121,43,60,1.0660347938537598
122,122,13,60,1.0775678157806396
123,123,18,60,1.0862038135528564
124,124,5,60,1.0963950157165527
125,125,-10,60,1.1025810241699219
126,126,28,60,1.1134958267211914
127,127,23,60,1.1208758354187012
128,128,-7,60,1.13087797164917
129,129,-4,60,1.1385588645935059
130,130,9,60,1.1488018035888672
131,131,57,60,1.1600377559661865
132,132,56,60,1.1663589477539062
133,133,35,60,1.1773598194122314
134,134,-30,60,1.1875
135,135,-2,60,1.197544813156128
136,136,10,60,1.207230806350708
137,137,6,60,1.2149438858032227
138,138,32,60,1.2247109413146973
139,139,64,60,1.2347078323364258
140,140,80,60,1.2422528266906738
141,141,87,60,1.2498118877410889
142,142,101,60,1.2597169876098633
143,143,99,60,1.268507957458496
144,144,102,60,1.2747128009796143
145,145,18,60,1.284733772277832
146,146,56,60,1.2925636768341064
147,147,55,60,1.302555799484253
148,148,41,60,1.3051626682281494
149,149,41,60,1.3051626682281494
150,150,41,60,1.3051626682281494
151,151,41,60,1.3051626682281494
152,152,41,60,1.3475642204284668
153,153,19,60,1.3574378490447998
154,154,2,60,1.3674919605255127
155,155,-8,60,1.3750877380371094
156,156,-2,60,1.3825557231903076
157,157,34,60,1.3937888145446777
158,158,88,60,1.4013054370880127
159,159,69,60,1.4099106788635254
160,160,52,60,1.4188058376312256
161,161,32,60,1.4261689186096191
162,162,36,60,1.436290979385376
163,163,58,60,1.4449429512023926
164,164,55,60,1.455077886581421
165,165,65,60,1.4622957706451416
166,166,75,60,1.4725518226623535
167,167,74,60,1.4798917770385742
168,168,146,60,1.4900376796722412
169,169,107,60,1.5000507831573486
170,170,49,60,1.5101008415222168
171,171,32,60,1.5175418853759766
172,172,8,60,1.5274386405944824
173,173,8,60,1.5350658893585205
174,174,54,60,1.5450818538665771
175,175,-12,60,1.5538158416748047
176,176,-34,60,1.561269998550415
177,177,-12,60,1.5700528621673584
178,178,-14,60,1.5762829780578613
179,179,13,60,1.586310863494873
180,180,59,60,1.5961599349975586
181,181,19,60,1.6035268306732178
182,182,2,60,1.6059787273406982
183,183,2,60,1.6059787273406982
184,184,2,60,1.6059787273406982
185,185,2,60,1.6059787273406982
186,186,129,60,1.6521308422088623
187,187,144,60,1.659923791885376
188,188,89,60,1.6660706996917725
189,189,90,60,1.676001787185669
190,190,76,60,1.6838188171386719
191,191,8,60,1.693450927734375
192,192,-8,60,1.7009148597717285
193,193,-40,60,1.7109308242797852
194,194,-7,60,1.7183988094329834
195,195,-22,60,1.7284247875213623
196,196,-30,60,1.7358999252319336
197,197,-3,60,1.745891809463501
198,198,16,60,1.7533574104309082
199,199,2,60,1.7633659839630127
200,200,34,60,1.7733910083770752
201,201,65,60,1.7808654308319092
202,202,70,60,1.7909107208251953
203,203,75,60,1.7983717918395996
204,204,61,60,1.8059768676757812
205,205,29,60,1.8146617412567139
206,206,0,60,1.8221898078918457
207,207,5,60,1.829653024673462
208,208,7,60,1.8383898735046387
209,209,59,60,1.8458898067474365
210,210,52,60,1.8512277603149414
211,211,54,60,1.863454818725586
212,212,137,60,1.8709909915924072
213,213,96,60,1.880918025970459
214,214,-22,60,1.8883757591247559
215,215,41,60,1.8958649635314941
216,216,96,60,1.9058680534362793
217,217,96,60,1.9058680534362793
218,218,96,60,1.9058680534362793
219,219,96,60,1.9058680534362793
220,220,96,60,1.9058680534362793
221,221,84,60,1.943389892578125
222,222,83,60,1.9546127319335938
223,223,-20,60,1.9646687507629395
224,224,-2,60,1.9721226692199707
225,225,-57,60,1.9796087741851807
226,226,-25,60,1.989715814590454
227,227,39,60,1.9984409809112549
228,228,34,60,2.0071377754211426
229,229,49,57,2.0171918869018555
230,230,83,57,2.0260488986968994
231,231,9,57,2.0333669185638428
232,232,-3,57,2.0408618450164795
233,233,67,57,2.050931930541992
234,234,106,57,2.0571658611297607
235,235,100,57,2.065981864929199
236,236,98,57,2.0747058391571045
237,237,71,57,2.0859267711639404
238,238,71,57,2.09348464012146
239,239,48,57,2.100940227508545
240,240,81,57,2.1075258255004883
241,241,81,57,2.1075258255004883
242,242,76,57,2.1271779537200928
243,243,86,57,2.1346240043640137
244,244,32,57,2.1447207927703857
245,245,58,57,2.152167797088623
246,246,38,57,2.1583478450775146
247,247,43,57,2.1683807373046875
248,248,67,57,2.1771187782287598
249,249,108,57,2.183398962020874
250,250,104,57,2.1909828186035156
251,251,56,57,2.2035939693450928
252,252,81,57,2.2050108909606934
253,253,81,57,2.2050108909606934
254,254,81,57,2.2050108909606934
255,255,81,57,2.2050108909606934
256,256,-12,57,2.245999813079834
257,257,45,57,2.2558798789978027
258,258,48,57,2.263382911682129
259,259,64,57,2.273477792739868
260,260,66,57,2.2834019660949707
261,261,68,57,2.292221784591675
262,262,84,57,2.302171468734741
263,263,17,57,2.312135934829712
264,264,59,57,2.32212495803833
265,265,38,57,2.329798936843872
266,266,76,57,2.339871644973755
267,267,55,57,2.3473968505859375
268,268,18,57,2.3575377464294434
269,269,-22,57,2.3688089847564697
270,270,-67,57,2.37743878364563
271,271,-39,57,2.3859927654266357
272,272,-21,57,2.3961269855499268
273,273,-72,57,2.4025378227233887
274,274,-24,57,2.4125688076019287
275,275,20,57,2.422640800476074
276,276,33,57,2.430072784423828
277,277,26,57,2.437560796737671
278,278,-2,57,2.4474546909332275
279,279,35,57,2.4587838649749756
280,280,10,57,2.467423915863037
281,281,-12,57,2.4759738445281982
282,282,16,57,2.4850759506225586
283,283,35,57,2.493795871734619
284,284,36,57,2.5038137435913086
285,285,28,57,2.5062849521636963
286,286,28,57,2.5062849521636963
287,287,28,57,2.5062849521636963
288,288,28,57,2.5062849521636963
289,289,183,57,2.5496509075164795
290,290,80,57,2.5588018894195557
291,291,50,57,2.5650408267974854
292,292,59,57,2.5776069164276123
293,293,116,57,2.5851938724517822
294,294,59,57,2.5925660133361816
295,295,67,57,2.6012887954711914
296,296,36,57,2.60992693901062
297,297,70,57,2.6187877655029297
298,298,53,57,2.628809928894043
299,299,26,57,2.638786792755127
300,300,5,57,2.646298885345459
301,301,38,57,2.656301736831665
302,302,37,57,2.663806200027466
303,303,43,57,2.6735899448394775
304,304,69,57,2.682304859161377
305,305,66,57,2.6909377574920654
306,306,107,57,2.700920820236206
307,307,65,57,2.708420753479004
308,308,68,57,2.717179775238037
309,309,73,57,2.725919008255005
310,310,65,57,2.7346794605255127
311,311,87,57,2.7423088550567627
312,312,92,57,2.749722719192505
313,313,34,57,2.7609548568725586
314,314,44,57,2.767137050628662
315,315,-36,57,2.77718186378479
316,316,-14,57,2.784681797027588
317,317,42,57,2.7909319400787354
318,318,34,57,2.8009068965911865
319,319,-2,57,2.805989980697632
320,320,-2,57,2.805989980697632
321,321,-2,57,2.805989980697632
322,322,-2,57,2.805989980697632
323,323,38,57,2.8434128761291504
324,324,172,57,2.8508570194244385
325,325,69,57,2.858443021774292
326,326,54,57,2.8671529293060303
327,327,19,57,2.874696731567383
328,328,17,57,2.884631633758545
329,329,29,57,2.8922159671783447
330,330,21,57,2.9008994102478027
331,331,21,57,2.9096438884735107
332,332,-22,57,2.9171535968780518
333,333,-18,57,2.9272069931030273
334,334,19,57,2.933387041091919
335,335,74,57,2.9434328079223633
336,336,66,57,2.950913667678833
337,337,64,57,2.958411693572998
338,338,25,57,2.9684386253356934
339,339,28,57,2.9758899211883545
340,340,58,57,2.9846644401550293
341,341,91,57,2.993785858154297
342,342,44,57,3.003675937652588
343,343,75,57,3.0074288845062256
344,344,75,57,3.0074288845062256
345,345,75,57,3.0074288845062256
346,346,91,54,3.0400984287261963
347,347,176,54,3.0499730110168457
348,348,1,54,3.0586163997650146
349,349,16,54,3.0676636695861816
350,350,38,54,3.076286792755127
351,351,24,54,3.0838096141815186
352,352,13,54,3.0936858654022217
353,353,11,54,3.1038336753845215
354,354,4,54,3.1061596870422363
355,355,4,54,3.1061596870422363
356,356,4,54,3.1061596870422363
357,357,4,54,3.1061596870422363
358,358,-10,54,3.147382974624634
359,359,113,54,3.1584367752075195
360,360,51,54,3.1661839485168457
361,361,17,54,3.17378568649292
362,362,9,54,3.1838150024414062
363,363,1,54,3.193678855895996
364,364,-40,54,3.2017757892608643
365,365,-49,54,3.2084689140319824
366,366,-25,54,3.21883487701416
367,367,-22,54,3.2262978553771973
368,368,-22,54,3.2262978553771973
369,369,89,54,3.2461318969726562
370,370,74,54,3.2534637451171875
371,371,20,54,3.260913848876953
372,372,10,54,3.270890951156616
373,373,43,54,3.2796616554260254
374,374,36,54,3.2859976291656494
375,375,50,54,3.2934718132019043
376,376,22,54,3.3050546646118164
377,377,-12,54,3.3125367164611816
378,378,55,54,3.323795795440674
379,379,48,54,3.330061674118042
380,380,56,54,3.3400518894195557
381,381,50,54,3.3475189208984375
382,382,38,54,3.3549787998199463
383,383,27,54,3.364898920059204
384,384,43,54,3.3750388622283936
385,385,33,54,3.3825438022613525
386,386,57,54,3.3863027095794678
387,387,57,54,3.3863027095794678
388,388,52,54,3.4050769805908203
389,389,52,54,3.4050769805908203
390,390,52,54,3.4050769805908203
391,391,52,54,3.4050769805908203
392,392,124,54,3.444755792617798
393,393,177,54,3.453549385070801
394,394,69,54,3.461171865463257
395,395,52,54,3.4713447093963623
396,396,51,54,3.481245756149292
397,397,9,54,3.490006923675537
398,398,-24,54,3.4987716674804688
399,399,-27,54,3.508786916732788
400,400,12,54,3.51754093170166
401,401,3,54,3.5236287117004395
402,402,-10,54,3.533796787261963
403,403,11,54,3.541165828704834
404,404,21,54,3.5487759113311768
405,405,27,54,3.558799982070923
406,406,-1,54,3.566282033920288
407,407,22,54,3.5762999057769775
408,408,6,54,3.586308002471924
409,409,6,54,3.593815803527832
410,410,64,54,3.6036338806152344
411,411,41,54,3.611189842224121
412,412,60,54,3.6209988594055176
413,413,-22,54,3.6286046504974365
414,414,21,54,3.6361708641052246
415,415,42,54,3.6462857723236084
416,416,12,54,3.652568817138672
417,417,57,54,3.6623358726501465
418,418,28,54,3.6700568199157715
419,419,16,54,3.67999267578125
420,420,3,54,3.686141014099121
421,421,72,54,3.6963000297546387
422,422,58,54,3.703843832015991
423,423,66,54,3.706267833709717
424,424,66,54,3.706267833709717
425,425,66,54,3.706267833709717
426,426,98,54,3.739771842956543
427,427,160,54,3.7484278678894043
428,428,90,54,3.7559142112731934
429,429,18,54,3.7658908367156982
430,430,9,54,3.773571729660034
431,431,4,54,3.780918598175049
432,432,40,54,3.7921812534332275
433,433,36,54,3.7996418476104736
434,434,54,54,3.8084378242492676
435,435,69,54,3.818389892578125
436,436,60,54,3.8259429931640625
437,437,-12,54,3.835944890975952
438,438,-7,54,3.8435018062591553
439,439,51,54,3.8508787155151367
440,440,101,54,3.8609588146209717
441,441,89,54,3.867245674133301
442,442,80,54,3.8760650157928467
443,443,42,54,3.885929822921753
444,444,3,54,3.892247438430786
445,445,38,54,3.8996429443359375
446,446,35,54,3.9096717834472656
447,447,39,54,3.9183900356292725
448,448,48,54,3.927149772644043
449,449,59,54,3.9372718334198
450,450,68,54,3.9450697898864746
451,451,38,54,3.955040216445923
452,452,81,54,3.9649198055267334
453,453,25,54,3.9725449085235596
454,454,18,54,3.981313467025757
455,455,59,54,3.990051746368408
456,456,77,54,4.000056982040405
457,457,81,54,4.00601601600647
458,458,81,54,4.00601601600647
459,459,81,54,4.00601601600647
460,460,81,54,4.00601601600647
461,461,161,40,4.048520803451538
462,462,81,40,4.053650856018066
463,463,43,40,4.064912796020508
464,464,-11,40,4.072556972503662
465,465,-21,40,4.080158948898315
466,466,-28,40,4.089737892150879
467,467,-18,40,4.0973029136657715
468,468,-25,40,4.107286691665649
469,469,4,40,4.114855766296387
470,470,23,40,4.124636888504028
471,471,35,40,4.132239818572998
472,472,12,40,4.142149925231934
473,473,59,40,4.152354717254639
474,474,41,40,4.160047769546509
475,475,-25,40,4.16882586479187
476,476,-23,40,4.177541971206665
477,477,48,40,4.187431812286377
478,478,64,40,4.197254657745361
479,479,53,40,4.205042839050293
480,480,76,40,4.212260723114014
481,481,97,40,4.222546815872192
482,482,70,40,4.232190847396851
483,483,66,40,4.242226839065552
484,484,80,40,4.2497947216033936
485,485,37,40,4.259688854217529
486,486,92,40,4.267181634902954
487,487,60,40,4.27466082572937
488,488,92,40,4.284672737121582
489,489,65,40,4.29506778717041
490,490,66,40,4.3025689125061035
491,491,73,40,4.306273460388184
492,492,73,40,4.306273460388184
493,493,73,40,4.306273460388184
494,494,73,40,4.306273460388184
495,495,16,40,4.3464038372039795
496,496,115,40,4.3536717891693115
497,497,65,40,4.363781452178955
498,498,51,40,4.373785734176636
499,499,51,40,4.382423400878906
500,500,64,40,4.392556190490723
501,501,19,40,4.401313781738281
502,502,75,40,4.4087748527526855
503,503,35,40,4.418798923492432
504,504,28,40,4.427264928817749
505,505,39,40,4.436293840408325
506,506,56,40,4.443419694900513
507,507,19,40,4.453793048858643
508,508,-20,40,4.461410760879517
509,509,-27,40,4.46878981590271
510,510,-7,40,4.478790998458862
511,511,53,40,4.486294984817505
512,512,-8,40,4.493786811828613
513,513,25,40,4.5037829875946045
514,514,12,40,4.513823986053467
515,515,-22,40,4.523800849914551
516,516,51,40,4.532490015029907
517,517,57,40,4.542429685592651
518,518,57,40,4.548484802246094
519,519,52,40,4.558791875839233
520,520,26,40,4.567579746246338
521,521,41,40,4.576293706893921
522,522,55,40,4.58506178855896
523,523,20,40,4.59379768371582
524,524,59,40,4.601614952087402
525,525,59,40,4.601614952087402
526,526,59,40,4.601614952087402
527,527,59,40,4.601614952087402
528,528,59,40,4.601614952087402
529,529,58,40,4.646604061126709
530,530,199,40,4.6599249839782715
531,531,118,40,4.666153907775879
532,532,118,40,4.666153907775879
533,533,125,40,4.688912868499756
534,534,22,40,4.697170734405518
535,535,26,40,4.704692840576172
536,536,11,40,4.714644908905029
537,537,-33,40,4.72477388381958
538,538,-33,40,4.732157945632935
539,539,-55,40,4.7422096729278564
540,540,-3,40,4.749730825424194
541,541,19,40,4.757230758666992
542,542,5,40,4.767165899276733
543,543,5,40,4.774719953536987
544,544,-10,40,4.783421754837036
545,545,27,40,4.792147636413574
546,546,70,40,4.798386812210083
547,547,97,40,4.80838680267334
548,548,89,40,4.815873622894287
549,549,35,40,4.824620723724365
550,550,59,40,4.834615468978882
551,551,38,40,4.842146635055542
552,552,17,40,4.84963583946228
553,553,12,40,4.8571248054504395
554,554,44,40,4.867118835449219
555,555,-14,40,4.873359680175781
556,556,72,40,4.883372783660889
557,557,57,40,4.892193794250488
558,558,48,40,4.902123928070068
559,559,82,40,4.905864953994751
560,560,82,40,4.905864953994751
561,561,82,40,4.905864953994751
562,562,82,40,4.905864953994751
563,563,160,40,4.9496636390686035
564,564,90,40,4.958689451217651
565,565,-6,40,4.965080738067627
566,566,3,40,4.97513747215271
567,567,-27,40,4.982587814331055
568,568,10,40,4.992433786392212
569,569,65,40,5.002565860748291
570,570,42,40,5.008866786956787
571,571,-6,41,5.021155834197998
572,572,25,41,5.03128981590271
573,573,8,41,5.040063858032227
574,574,42,41,5.048876047134399
575,575,49,41,5.056276798248291
576,576,53,41,5.066260814666748
577,577,93,41,5.07381796836853
578,578,82,41,5.082464218139648
579,579,59,41,5.092439651489258
580,580,64,41,5.101297855377197
581,581,88,41,5.107544660568237
582,582,-4,41,5.117501974105835
583,583,80,41,5.124725818634033
