,timestamp,raw_value,attention,delta
0,0,92,48,0.0
1,1,68,48,0.010028839111328125
2,2,66,48,0.02052783966064453
3,3,67,48,0.024075984954833984
4,4,67,48,0.024075984954833984
5,5,67,48,0.024075984954833984
6,6,32,48,0.06764984130859375
7,7,68,48,0.0784158706665039
8,8,52,48,0.08974885940551758
9,9,56,48,0.0995028018951416
10,10,70,48,0.11128664016723633
11,11,60,48,0.12627387046813965
12,12,92,48,0.13766980171203613
13,13,67,48,0.1455979347229004
14,14,128,48,0.15086126327514648
15,15,108,48,0.16649580001831055
16,16,106,48,0.17773079872131348
17,17,26,48,0.18538379669189453
18,18,40,48,0.1974167823791504
19,19,65,48,0.20795679092407227
20,20,53,48,0.2196667194366455
21,21,37,48,0.23046183586120605
22,22,65,48,0.24207782745361328
23,23,65,48,0.24207782745361328
24,24,76,48,0.2680058479309082
25,25,68,48,0.2790508270263672
26,26,86,48,0.29041576385498047
27,27,86,48,0.2979128360748291
28,28,38,48,0.30973076820373535
29,29,66,48,0.3212239742279053
30,30,66,48,0.3212239742279053
31,31,66,48,0.3212239742279053
32,32,99,41,0.35837769508361816
33,33,60,41,0.36917662620544434
34,34,71,41,0.38044095039367676
35,35,51,41,0.3921687602996826
36,36,85,41,0.4029219150543213
37,37,69,41,0.41436076164245605
38,38,66,41,0.42180490493774414
39,39,42,41,0.43302083015441895
40,40,38,41,0.4447617530822754
41,41,48,41,0.45314645767211914
42,42,92,41,0.4642817974090576
43,43,49,41,0.4764077663421631
44,44,64,41,0.4875760078430176
45,45,68,41,0.4988086223602295
46,46,71,41,0.5102598667144775
47,47,84,41,0.5219728946685791
48,48,53,41,0.5327248573303223
49,49,34,41,0.5445878505706787
50,50,93,41,0.555182695388794
51,51,64,41,0.5674328804016113
52,52,88,41,0.5791769027709961
53,53,55,41,0.5867207050323486
54,54,66,41,0.6017706394195557
55,55,50,41,0.612933874130249
56,56,80,41,0.62186598777771
57,57,57,41,0.6267960071563721
58,58,57,41,0.6267960071563721
59,59,72,41,0.6547470092773438
60,60,85,41,0.669123649597168
61,61,48,41,0.6810867786407471
62,62,29,41,0.6887810230255127
63,63,69,41,0.7000987529754639
64,64,100,41,0.7115750312805176
65,65,61,41,0.7193598747253418
66,66,48,41,0.7302398681640625
67,67,61,41,0.7422149181365967
68,68,74,41,0.7529668807983398
69,69,12,41,0.7648258209228516
70,70,4,41,0.7756075859069824
71,71,18,41,0.7878587245941162
72,72,42,41,0.7924964427947998
73,73,64,41,0.8093140125274658
74,74,70,41,0.8203649520874023
75,75,77,41,0.8321177959442139
76,76,65,41,0.8392770290374756
77,77,57,41,0.8474249839782715
78,78,8,41,0.8586239814758301
79,79,54,41,0.8693704605102539
80,80,90,41,0.8777456283569336
81,81,68,41,0.8878378868103027
82,82,68,41,0.8878378868103027
83,83,86,41,0.9143688678741455
84,84,52,41,0.9230489730834961
85,85,41,41,0.9354219436645508
86,86,41,41,0.9354219436645508
87,87,35,41,0.9588148593902588
88,88,53,41,0.9697268009185791
89,89,108,41,0.9809458255767822
90,90,90,41,0.988872766494751
91,91,87,41,1.0006937980651855
92,92,61,41,1.0123658180236816
93,93,84,41,1.024413824081421
94,94,92,41,1.0355544090270996
95,95,104,41,1.0391948223114014
96,96,104,41,1.0391948223114014
97,97,104,41,1.0391948223114014
98,98,105,41,1.0807087421417236
99,99,114,41,1.0905706882476807
100,100,101,41,1.1018898487091064
101,101,100,41,1.1055097579956055
102,102,100,41,1.1055097579956055
103,103,121,41,1.1381659507751465
104,104,83,41,1.151660680770874
105,105,80,41,1.1591858863830566
106,106,24,41,1.1671106815338135
107,107,24,41,1.1671106815338135
108,108,24,41,1.1671106815338135
109,109,17,41,1.1997098922729492
110,110,37,41,1.2103867530822754
111,111,37,41,1.2103867530822754
112,112,37,41,1.2103867530822754
113,113,37,41,1.2103867530822754
114,114,56,41,1.257875919342041
115,115,26,41,1.2664144039154053
116,116,36,41,1.2756867408752441
117,117,29,41,1.278181791305542
118,118,29,41,1.278181791305542
119,119,29,41,1.278181791305542
120,120,26,41,1.3203089237213135
121,121,49,48,1.3322157859802246
122,122,72,48,1.3393588066101074
123,123,54,48,1.3540117740631104
124,124,87,48,1.3633618354797363
125,125,64,48,1.3713667392730713
126,126,55,48,1.3825178146362305
127,127,76,48,1.3938758373260498
128,128,99,48,1.4023778438568115
129,129,1,48,1.413907766342163
130,130,67,48,1.425271987915039
131,131,51,48,1.4299688339233398
132,132,72,48,1.4463276863098145
133,133,88,48,1.4601874351501465
134,134,82,48,1.4688518047332764
135,135,51,48,1.4803578853607178
136,136,67,48,1.487898826599121
137,137,51,48,1.499208927154541
138,138,56,48,1.5112028121948242
139,139,45,48,1.5225069522857666
140,140,45,48,1.5225069522857666
141,141,49,48,1.546325922012329
142,142,59,48,1.5576579570770264
143,143,98,48,1.5655667781829834
144,144,97,48,1.578171968460083
145,145,114,48,1.585130214691162
146,146,114,48,1.585130214691162
147,147,82,48,1.609872817993164
148,148,86,48,1.6175727844238281
149,149,68,48,1.628997802734375
150,150,106,48,1.640307903289795
151,151,89,48,1.648460865020752
152,152,66,48,1.6593008041381836
153,153,48,48,1.6709527969360352
154,154,64,48,1.6831998825073242
155,155,49,48,1.691281795501709
156,156,74,48,1.703305959701538
157,157,3,48,1.7142038345336914
158,158,32,48,1.7260117530822754
159,159,49,48,1.7370116710662842
160,160,48,48,1.7480287551879883
161,161,10,48,1.7598049640655518
162,162,43,48,1.770981788635254
163,163,71,48,1.7827198505401611
164,164,59,48,1.7941367626190186
165,165,92,48,1.8058648109436035
166,166,27,48,1.8168408870697021
167,167,49,48,1.8252007961273193
168,168,49,48,1.8252007961273193
169,169,49,48,1.8252007961273193
