,timestamp,raw_value,attention,delta
0,0,74,61,0.0
1,1,88,61,0.008599996566772461
2,2,88,61,0.008599996566772461
3,3,88,61,0.008599996566772461
4,4,100,61,0.04092907905578613
5,5,70,61,0.052130937576293945
6,6,72,61,0.05962014198303223
7,7,11,61,0.06723713874816895
8,8,-14,61,0.07848501205444336
9,9,97,61,0.0860280990600586
10,10,68,61,0.0972738265991211
11,11,84,61,0.1046898365020752
12,12,113,61,0.1163640022277832
13,13,88,61,0.12472009658813477
14,14,76,61,0.1354660987854004
15,15,29,61,0.14697504043579102
16,16,48,61,0.1567091941833496
17,17,48,61,0.16394782066345215
18,18,51,61,0.1689128875732422
19,19,51,61,0.1689128875732422
20,20,51,61,0.1689128875732422
21,21,51,61,0.1689128875732422
22,22,58,61,0.2127528190612793
23,23,84,61,0.2230989933013916
24,24,82,61,0.2334599494934082
25,25,12,61,0.24367284774780273
26,26,-10,61,0.2504889965057373
27,27,-4,61,0.25753188133239746
28,28,33,61,0.26735520362854004
29,29,25,61,0.2742938995361328
30,30,77,61,0.2815680503845215
31,31,85,61,0.28745603561401367
32,32,85,61,0.28745603561401367
33,33,67,61,0.31235504150390625
34,34,133,61,0.31972599029541016
35,35,106,61,0.33180809020996094
36,36,18,61,0.3403925895690918
37,37,66,61,0.3514878749847412
38,38,43,61,0.359360933303833
39,39,114,61,0.3700859546661377
40,40,71,61,0.37807798385620117
41,41,128,61,0.38887810707092285
42,42,54,61,0.39965200424194336
43,43,56,61,0.4063558578491211
44,44,59,61,0.4166378974914551
45,45,-4,61,0.4278688430786133
46,46,-4,61,0.4278688430786133
47,47,-4,61,0.4278688430786133
48,48,-4,61,0.4278688430786133
49,49,-4,61,0.4278688430786133
50,50,-4,61,0.4278688430786133
51,51,-4,61,0.4278688430786133
52,52,-4,61,0.4278688430786133
53,53,-4,61,0.4278688430786133
54,54,-4,61,0.4278688430786133
55,55,-7,61,0.5276644229888916
56,56,-10,61,0.5345189571380615
57,57,-10,61,0.5345189571380615
58,58,-10,61,0.5345189571380615
59,59,-10,61,0.5345189571380615
60,60,-10,61,0.5345189571380615
61,61,-10,61,0.5345189571380615
62,62,105,61,0.5948531627655029
63,63,92,61,0.6023879051208496
64,64,40,66,0.6105949878692627
65,65,40,66,0.6105949878692627
66,66,40,66,0.6105949878692627
67,67,40,66,0.6105949878692627
68,68,9,66,0.6497719287872314
69,69,56,66,0.6628780364990234
70,70,24,66,0.6703300476074219
71,71,34,66,0.6779689788818359
72,72,34,66,0.6779689788818359
73,73,34,66,0.6779689788818359
74,74,40,66,0.7110259532928467
75,75,22,66,0.7207655906677246
76,76,107,66,0.7308609485626221
77,77,39,66,0.741002082824707
78,78,-30,66,0.7494020462036133
79,79,-28,66,0.7528860569000244
80,80,-28,66,0.7528860569000244
81,81,-28,66,0.7528860569000244
82,82,0,66,0.7884128093719482
83,83,40,66,0.7980751991271973
84,84,170,66,0.8053109645843506
85,85,120,66,0.8165841102600098
86,86,120,66,0.8165841102600098
87,87,120,66,0.8165841102600098
88,88,83,66,0.843073844909668
89,89,83,66,0.843073844909668
90,90,98,66,0.862663984298706
91,91,138,66,0.8725831508636475
92,92,105,66,0.880295991897583
93,93,50,66,0.8878781795501709
94,94,50,66,0.8878781795501709
95,95,50,66,0.8878781795501709
96,96,29,66,0.9196128845214844
97,97,40,66,0.930689811706543
98,98,106,66,0.9341349601745605
99,99,106,66,0.9341349601745605
100,100,106,66,0.9341349601745605
101,101,100,66,0.9694881439208984
102,102,7,66,0.9801661968231201
103,103,172,66,0.9865729808807373
104,104,84,66,0.9980180263519287
105,105,84,66,0.9980180263519287
106,106,84,66,0.9980180263519287
107,107,84,66,0.9980180263519287
108,108,53,66,1.0373799800872803
109,109,39,66,1.0477819442749023
110,110,64,66,1.0550799369812012
111,111,96,66,1.0646729469299316
112,112,96,66,1.0646729469299316
113,113,96,66,1.0646729469299316
114,114,96,66,1.0646729469299316
115,115,49,66,1.1040802001953125
116,116,29,66,1.111173391342163
117,117,66,66,1.1193139553070068
118,118,80,66,1.1301679611206055
119,119,59,66,1.1422479152679443
120,120,59,66,1.1483299732208252
121,121,55,66,1.1588029861450195
122,122,147,66,1.1690549850463867
123,123,104,66,1.179375171661377
124,124,16,66,1.1866118907928467
125,125,23,66,1.1975419521331787
126,126,5,66,1.205146074295044
127,127,-24,66,1.2166111469268799
128,128,39,66,1.2238531112670898
129,129,25,66,1.2349228858947754
130,130,90,66,1.242379903793335
131,131,189,66,1.2534818649291992
132,132,120,66,1.2617769241333008
133,133,141,66,1.272386074066162
134,134,104,66,1.2799351215362549
135,135,70,66,1.2913188934326172
136,136,54,66,1.2989261150360107
137,137,39,66,1.3098089694976807
138,138,41,66,1.3173589706420898
139,139,93,66,1.3282139301300049
140,140,86,66,1.3390672206878662
141,141,70,66,1.3481330871582031
142,142,86,66,1.3552250862121582
143,143,9,66,1.3680739402770996
144,144,9,66,1.3680739402770996
145,145,9,66,1.3680739402770996
146,146,33,66,1.395838975906372
147,147,66,66,1.406587839126587
148,148,59,66,1.4176175594329834
149,149,49,66,1.4250528812408447
150,150,37,66,1.4325690269470215
151,151,54,66,1.4442930221557617
152,152,144,66,1.4515738487243652
153,153,69,66,1.4628643989562988
154,154,67,66,1.4685039520263672
155,155,67,66,1.4685039520263672
156,156,55,66,1.4914817810058594
157,157,86,66,1.5016119480133057
158,158,77,66,1.510138988494873
159,159,60,66,1.5176048278808594
160,160,-42,66,1.52882981300354
161,161,-21,66,1.536604881286621
162,162,11,66,1.5475969314575195
163,163,43,66,1.5593969821929932
164,164,72,66,1.567296028137207
165,165,72,66,1.567296028137207
166,166,72,66,1.567296028137207
167,167,102,66,1.5925509929656982
168,168,88,67,1.6073110103607178
169,169,118,67,1.6147830486297607
170,170,73,67,1.6222898960113525
171,171,55,67,1.6338801383972168
172,172,24,67,1.6412999629974365
173,173,54,67,1.6521129608154297
174,174,56,67,1.659963846206665
175,175,64,67,1.6670870780944824
176,176,64,67,1.6670870780944824
177,177,64,67,1.6670870780944824
178,178,82,67,1.6986069679260254
179,179,23,67,1.7126688957214355
180,180,-28,67,1.7205064296722412
181,181,-22,67,1.731428861618042
182,182,-37,67,1.7393100261688232
183,183,-7,67,1.750072956085205
184,184,61,67,1.7572729587554932
185,185,58,67,1.7693450450897217
186,186,91,67,1.7767300605773926
187,187,104,67,1.787621021270752
188,188,151,67,1.795086145401001
189,189,96,67,1.8025729656219482
190,190,40,67,1.8138511180877686
191,191,32,67,1.82551908493042
192,192,26,67,1.8329029083251953
193,193,45,67,1.840338945388794
194,194,70,67,1.8513679504394531
195,195,88,67,1.8554470539093018
196,196,53,67,1.867473840713501
197,197,91,67,1.8791208267211914
198,198,70,67,1.8868868350982666
199,199,100,67,1.894352912902832
200,200,80,67,1.9053068161010742
201,201,43,67,1.9128611087799072
202,202,20,67,1.9238829612731934
203,203,19,67,1.9313440322875977
204,204,33,67,1.9429340362548828
205,205,66,67,1.9539029598236084
206,206,52,67,1.962723970413208
207,207,85,67,1.9710772037506104
208,208,85,67,1.9710772037506104
209,209,115,67,1.992823839187622
210,210,132,67,2.000255823135376
211,211,93,67,2.010981798171997
212,212,88,67,2.022304058074951
213,213,66,67,2.029744863510132
214,214,57,67,2.0372581481933594
215,215,19,67,2.045121908187866
216,216,76,67,2.0563559532165527
217,217,107,67,2.065113067626953
218,218,97,67,2.0762250423431396
219,219,69,67,2.0866100788116455
220,220,12,67,2.0940630435943604
221,221,28,67,2.1048271656036377
222,222,5,67,2.1128950119018555
223,223,17,67,2.124077081680298
224,224,52,67,2.131605863571167
225,225,132,67,2.1426405906677246
226,226,122,67,2.1501073837280273
227,227,88,67,2.1613690853118896
228,228,49,67,2.1698880195617676
229,229,61,67,2.1813759803771973
230,230,93,67,2.1889488697052
231,231,40,67,2.2008719444274902
232,232,27,67,2.207805871963501
233,233,49,67,2.2188808917999268
234,234,90,67,2.2264089584350586
235,235,123,67,2.2378780841827393
236,236,66,67,2.2452809810638428
237,237,99,67,2.2568509578704834
238,238,129,67,2.2652530670166016
239,239,129,67,2.269697904586792
240,240,129,67,2.269697904586792
241,241,129,67,2.269697904586792
242,242,60,67,2.306074380874634
243,243,85,67,2.313628911972046
244,244,101,67,2.3247315883636475
245,245,89,67,2.3322370052337646
246,246,27,67,2.3436808586120605
247,247,37,67,2.3513081073760986
248,248,28,67,2.3622255325317383
249,249,55,67,2.3697609901428223
250,250,16,67,2.380643129348755
251,251,38,67,2.387986898422241
252,252,56,67,2.3988568782806396
253,253,39,67,2.406316041946411
254,254,96,67,2.417696952819824
255,255,91,67,2.425855875015259
256,256,32,67,2.4351930618286133
257,257,32,67,2.4351930618286133
258,258,32,67,2.4351930618286133
259,259,56,67,2.4659318923950195
260,260,55,67,2.473494052886963
261,261,104,67,2.484144926071167
262,262,92,67,2.4917099475860596
263,263,91,67,2.502794027328491
264,264,92,67,2.510312080383301
265,265,56,67,2.5213239192962646
266,266,17,67,2.5288779735565186
267,267,32,67,2.540433168411255
268,268,71,67,2.5479910373687744
269,269,38,67,2.5588040351867676
270,270,55,67,2.5671708583831787
271,271,55,67,2.5671708583831787
272,272,55,67,2.5671708583831787
273,273,87,67,2.594153881072998
274,274,87,67,2.594153881072998
275,275,115,63,2.6135380268096924
276,276,84,63,2.6249921321868896
277,277,98,63,2.631561040878296
278,278,98,63,2.631561040878296
279,279,98,63,2.631561040878296
280,280,98,63,2.631561040878296
281,281,69,63,2.6669869422912598
282,282,34,63,2.67671799659729
283,283,87,63,2.683264970779419
284,284,90,63,2.6905689239501953
285,285,90,63,2.6905689239501953
286,286,90,63,2.6905689239501953
287,287,90,63,2.6905689239501953
288,288,81,63,2.732731819152832
289,289,42,63,2.742339849472046
290,290,99,63,2.7492218017578125
291,291,103,63,2.7643179893493652
292,292,103,63,2.7643179893493652
293,293,103,63,2.7643179893493652
294,294,103,63,2.7643179893493652
295,295,60,63,2.80115008354187
296,296,66,63,2.810333013534546
297,297,36,63,2.8141298294067383
298,298,36,63,2.8141298294067383
299,299,58,63,2.8344099521636963
300,300,58,63,2.8344099521636963
301,301,51,63,2.8551671504974365
302,302,100,63,2.8665058612823486
303,303,68,63,2.8749711513519287
304,304,68,63,2.8749711513519287
305,305,68,63,2.8749711513519287
306,306,91,63,2.902400016784668
307,307,34,63,2.9126169681549072
308,308,72,63,2.920193910598755
309,309,43,63,2.931363105773926
310,310,25,63,2.9388558864593506
311,311,35,63,2.9503700733184814
312,312,82,63,2.957645893096924
313,313,107,63,2.9690051078796387
314,314,90,63,2.9801111221313477
315,315,37,63,2.987771987915039
316,316,13,63,2.99959397315979
317,317,20,63,3.01052188873291
318,318,-8,63,3.0179009437561035
319,319,106,63,3.02884840965271
320,320,112,63,3.0401790142059326
321,321,70,63,3.0476291179656982
322,322,118,63,3.0550930500030518
323,323,120,63,3.066534996032715
324,324,133,63,3.0776009559631348
325,325,147,63,3.085116147994995
326,326,120,63,3.0928218364715576
327,327,54,63,3.104144811630249
328,328,-25,63,3.1117072105407715
329,329,64,63,3.122636079788208
330,330,66,63,3.1300830841064453
331,331,120,63,3.1416900157928467
332,332,68,63,3.149221181869507
333,333,105,63,3.1600661277770996
334,334,70,63,3.168034076690674
335,335,70,63,3.168034076690674
336,336,70,63,3.168034076690674
337,337,106,63,3.194687843322754
338,338,65,63,3.2087020874023438
339,339,75,63,3.2163500785827637
340,340,89,63,3.227504014968872
341,341,44,63,3.2389280796051025
342,342,70,63,3.2462120056152344
343,343,57,63,3.2577199935913086
344,344,-1,63,3.265246868133545
345,345,11,63,3.2762269973754883
346,346,10,63,3.283890962600708
347,347,-21,63,3.296037197113037
348,348,20,63,3.3064920902252197
349,349,49,63,3.3138930797576904
350,350,68,63,3.32511305809021
351,351,121,63,3.332815408706665
352,352,106,63,3.3438479900360107
353,353,87,63,3.351378917694092
354,354,83,63,3.3633058071136475
355,355,55,63,3.3740711212158203
356,356,8,63,3.3813281059265137
357,357,42,63,3.3885488510131836
358,358,37,63,3.393435001373291
359,359,34,63,3.4029979705810547
360,360,54,63,3.4161128997802734
361,361,120,63,3.428039789199829
362,362,71,63,3.4353139400482178
363,363,51,63,3.446577787399292
364,364,103,63,3.453812837600708
365,365,96,63,3.4656569957733154
366,366,88,63,3.4706521034240723
367,367,88,63,3.4706521034240723
368,368,51,63,3.4931628704071045
369,369,27,63,3.5035781860351562
370,370,121,63,3.515288829803467
