,timestamp,raw_value,attention,delta
0,0,50,44,0.0
1,1,88,44,0.011243104934692383
2,2,82,44,0.015592813491821289
3,3,82,44,0.015592813491821289
4,4,28,44,0.04697895050048828
5,5,148,44,0.06147408485412598
6,6,116,44,0.07270193099975586
7,7,34,44,0.08779382705688477
8,8,56,44,0.09830999374389648
9,9,13,44,0.10976982116699219
10,10,45,44,0.120513916015625
11,11,65,44,0.13147234916687012
12,12,54,44,0.14676809310913086
13,13,36,44,0.15773892402648926
14,14,52,44,0.16933298110961914
15,15,102,44,0.18028473854064941
16,16,76,44,0.19529032707214355
17,17,88,44,0.20675301551818848
18,18,71,44,0.2205369472503662
19,19,92,44,0.2315990924835205
20,20,96,44,0.24301433563232422
21,21,51,38,0.25395798683166504
22,22,25,38,0.26905202865600586
23,23,67,38,0.280198335647583
24,24,69,38,0.2916741371154785
25,25,81,38,0.30309295654296875
26,26,51,38,0.31075382232666016
27,27,51,38,0.31075382232666016
28,28,57,38,0.3390047550201416
29,29,74,38,0.3471388816833496
30,30,106,38,0.36225199699401855
31,31,84,38,0.3725240230560303
32,32,97,38,0.3874063491821289
33,33,33,38,0.3986349105834961
34,34,57,38,0.40900301933288574
35,35,10,38,0.4202709197998047
36,36,42,38,0.43526387214660645
37,37,54,38,0.4470179080963135
38,38,13,38,0.45773792266845703
39,39,50,38,0.46924591064453125
40,40,7,38,0.4802279472351074
41,41,71,38,0.49538493156433105
42,42,57,38,0.504249095916748
43,43,55,38,0.5189647674560547
44,44,101,38,0.5305323600769043
45,45,51,38,0.5416409969329834
46,46,67,38,0.5572633743286133
47,47,135,38,0.5683608055114746
48,48,150,38,0.5790257453918457
49,49,59,38,0.5906398296356201
50,50,49,38,0.6014227867126465
51,51,56,38,0.6099879741668701
52,52,56,38,0.6099879741668701
53,53,68,38,0.6369905471801758
54,54,90,38,0.6477890014648438
55,55,54,38,0.6589758396148682
56,56,42,38,0.6702489852905273
57,57,25,38,0.6816020011901855
58,58,57,38,0.6927249431610107
59,59,61,38,0.7043321132659912
60,60,40,38,0.7157759666442871
61,61,40,38,0.7253859043121338
62,62,40,38,0.7253859043121338
63,63,100,38,0.753633975982666
64,64,86,38,0.7668581008911133
65,65,59,38,0.7742199897766113
66,66,25,38,0.7912473678588867
67,67,109,38,0.8029899597167969
68,68,105,38,0.8092889785766602
69,69,105,38,0.8092889785766602
70,70,105,38,0.8092889785766602
71,71,68,38,0.8497660160064697
72,72,86,38,0.8595120906829834
73,73,89,38,0.8670339584350586
74,74,61,38,0.8821070194244385
75,75,17,38,0.8894708156585693
76,76,17,38,0.8894708156585693
77,77,17,38,0.8894708156585693
78,78,21,38,0.9309501647949219
79,79,21,38,0.9309501647949219
80,80,21,38,0.9309501647949219
81,81,21,38,0.9309501647949219
82,82,21,38,0.9309501647949219
83,83,21,38,0.9309501647949219
84,84,18,38,1.0061659812927246
85,85,38,38,1.0130648612976074
86,86,76,38,1.0318009853363037
87,87,55,38,1.044403076171875
88,88,37,38,1.0552680492401123
89,89,18,38,1.0669500827789307
90,90,5,38,1.0817821025848389
91,91,20,38,1.0926859378814697
92,92,-3,38,1.1042709350585938
93,93,45,38,1.1188509464263916
94,94,53,38,1.1295969486236572
95,95,51,38,1.1408259868621826
96,96,70,38,1.155785083770752
97,97,82,38,1.1665241718292236
98,98,50,38,1.1779630184173584
99,99,28,38,1.1888949871063232
100,100,25,38,1.193896770477295
101,101,25,38,1.193896770477295
102,102,25,38,1.193896770477295
103,103,40,38,1.2391719818115234
104,104,72,38,1.2501749992370605
105,105,100,27,1.2614240646362305
106,106,96,27,1.2765209674835205
107,107,72,27,1.287735939025879
108,108,64,27,1.2992360591888428
109,109,72,27,1.3141188621520996
110,110,52,27,1.326812744140625
111,111,65,27,1.3380119800567627
112,112,96,27,1.3491239547729492
113,113,112,27,1.36055588722229
114,114,66,27,1.375641107559204
115,115,41,27,1.3865242004394531
116,116,32,27,1.3981549739837646
117,117,73,27,1.4127070903778076
118,118,44,27,1.4252259731292725
119,119,57,27,1.4369561672210693
120,120,68,27,1.4478209018707275
121,121,112,27,1.4592540264129639
122,122,224,27,1.4702279567718506
123,123,308,27,1.4851739406585693
124,124,442,27,1.4968719482421875
125,125,410,27,1.507047414779663
126,126,461,27,1.5138649940490723
127,127,461,27,1.5138649940490723
128,128,461,27,1.5138649940490723
129,129,461,27,1.5138649940490723
130,130,461,27,1.5138649940490723
131,131,371,27,1.5820751190185547
132,132,371,27,1.5820751190185547
133,133,387,27,1.6006708145141602
134,134,387,27,1.6006708145141602
135,135,387,27,1.6006708145141602
136,136,387,27,1.6006708145141602
137,137,-324,27,1.653158187866211
138,138,-131,27,1.6633110046386719
139,139,-146,27,1.6745059490203857
140,140,-146,27,1.6745059490203857
141,141,-146,27,1.6745059490203857
142,142,-161,27,1.7143549919128418
143,143,5,27,1.7255499362945557
144,144,17,27,1.7292671203613281
145,145,17,27,1.7292671203613281
146,146,17,27,1.7292671203613281
147,147,35,27,1.7752680778503418
148,148,123,27,1.7853899002075195
149,149,107,27,1.7967398166656494
150,150,107,27,1.7967398166656494
151,151,103,27,1.8231911659240723
152,152,103,27,1.8231911659240723
153,153,103,27,1.8231911659240723
154,154,189,27,1.858808994293213
155,155,189,27,1.8705039024353027
156,156,112,27,1.8840398788452148
157,157,73,27,1.8950729370117188
158,158,83,27,1.9068491458892822
159,159,97,27,1.9176990985870361
160,160,103,27,1.929009199142456
161,161,93,27,1.9442627429962158
