timestamp,raw_value,attention
1614824899.6222239,106,47
1614824899.632991,102,47
1614824899.6479099,41,47
1614824899.6591842,26,47
1614824899.6704488,-4,47
1614824899.6829178,18,47
1614824899.693405,42,47
1614824899.702005,49,47
1614824899.7221189,67,47
1614824899.7333739,77,47
1614824899.744566,27,47
1614824899.759524,56,47
1614824899.77072,86,47
1614824899.781826,56,47
1614824899.792647,48,47
1614824899.804279,84,47
1614824899.815265,73,47
1614824899.8260102,61,47
1614824899.8396502,53,47
1614824899.8498912,83,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.853743,99,47
1614824899.971196,105,47
1614824899.9747179,105,47
1614824899.9747179,105,47
1614824899.9747179,105,47
1614824900.021974,56,47
1614824900.030232,74,47
1614824900.042022,57,47
1614824900.042022,57,47
1614824900.042022,57,47
1614824900.0822332,36,47
1614824900.092791,54,47
1614824900.102689,20,47
1614824900.1159549,54,47
1614824900.126922,4,47
1614824900.126922,4,47
1614824900.153385,21,47
1614824900.1645389,38,47
1614824900.176772,81,47
1614824900.18833,115,47
1614824900.1945071,91,47
1614824900.1945071,91,47
1614824900.224229,52,47
1614824900.235179,27,47
1614824900.2464252,70,47
1614824900.257647,33,47
1614824900.2730591,34,47
1614824900.280716,8,47
1614824900.296948,61,47
1614824900.3077161,66,47
1614824900.319336,57,47
1614824900.330563,64,47
1614824900.343009,48,47
1614824900.355943,55,47
1614824900.366761,40,47
1614824900.37806,123,47
1614824900.3893068,74,37
1614824900.400693,86,37
1614824900.4123762,53,37
1614824900.42716,32,37
1614824900.438049,23,37
1614824900.449808,44,37
1614824900.4646919,27,37
1614824900.475807,19,37
1614824900.4868639,75,37
1614824900.490966,82,37
1614824900.490966,82,37
1614824900.526129,80,37
1614824900.538126,90,37
1614824900.549144,68,37
1614824900.5603971,85,37
1614824900.575451,19,37
1614824900.583384,52,37
1614824900.583384,52,37
1614824900.609673,48,37
1614824900.624361,103,37
1614824900.636082,96,37
1614824900.6470022,61,37
1614824900.6580539,65,37
1614824900.670058,101,37
1614824900.684716,97,37
1614824900.695533,73,37
1614824900.7066,60,37
1614824900.7171788,48,37
1614824900.728736,49,37
1614824900.7393339,50,37
1614824900.754271,92,37
1614824900.765953,81,37
1614824900.776885,67,37
1614824900.788424,123,37
1614824900.796897,146,37
1614824900.796897,146,37
1614824900.796897,146,37
1614824900.796897,146,37
1614824900.8504052,80,37
1614824900.862089,52,37
1614824900.872897,16,37
1614824900.888094,-38,37
1614824900.8993201,-5,37
1614824900.910591,3,37
1614824900.9242501,-36,37
1614824900.934998,12,37
1614824900.945766,4,37
1614824900.945766,4,37
1614824900.945766,4,37
1614824900.980685,7,37
1614824900.980685,7,37
1614824900.980685,7,37
1614824900.980685,7,37
1614824901.0347252,103,37
1614824901.0457191,73,37
1614824901.0594501,67,37
1614824901.06747,54,37
1614824901.06747,54,37
1614824901.06747,54,37
1614824901.06747,54,37
1614824901.11769,51,37
1614824901.128298,21,37
1614824901.128298,21,37
1614824901.128298,21,37
1614824901.1633139,74,37
1614824901.174365,101,37
1614824901.1857338,36,37
1614824901.196775,11,37
1614824901.208317,7,37
1614824901.222552,48,37
1614824901.2331772,82,37
1614824901.245077,51,37
1614824901.2555351,42,37
1614824901.2667909,57,37
1614824901.2783391,146,37
1614824901.289873,168,37
1614824901.304786,168,37
1614824901.316007,184,37
1614824901.3271449,220,37
1614824901.3418,141,37
1614824901.353678,156,37
1614824901.364278,209,37
1614824901.375644,268,37
1614824901.390433,342,37
1614824901.398559,348,37
1614824901.398559,348,37
1614824901.426702,364,37
1614824901.4414248,201,37
1614824901.452306,139,37
1614824901.4637282,73,37
1614824901.474297,4,37
1614824901.485595,-5,37
1614824901.497365,-78,37
1614824901.51216,-134,37
1614824901.523026,-230,37
1614824901.536779,-324,37
1614824901.548324,-390,37
1614824901.559435,-456,37
1614824901.574311,-410,37
1614824901.5860422,-403,37
1614824901.59683,-334,37
1614824901.611765,-230,37
1614824901.623879,-184,37
1614824901.63561,-181,37
1614824901.650272,105,37
1614824901.6616058,20,37
1614824901.675596,-7,37
1614824901.686999,3,37
1614824901.698494,52,37
1614824901.698494,52,37
1614824901.7219121,75,37
1614824901.733163,145,37
1614824901.74795,227,37
1614824901.7592819,197,37
1614824901.770478,148,37
1614824901.781881,164,37
1614824901.796907,178,37
1614824901.804682,187,37
1614824901.8163998,228,37
1614824901.82758,130,37
1614824901.8429492,197,37
1614824901.854481,101,37
1614824901.866038,152,37
1614824901.877841,149,37
1614824901.889167,151,37
1614824901.9000509,97,37
1614824901.911027,88,37
1614824901.9256792,129,37
1614824901.937848,136,37
1614824901.949635,119,37
1614824901.949635,119,37
1614824901.949635,119,37
1614824901.9861178,103,37
1614824902.001649,114,37
1614824902.0031328,118,37
1614824902.0031328,118,37
1614824902.0031328,118,37
1614824902.051765,68,37
1614824902.064597,84,37
1614824902.0684218,60,37
1614824902.0684218,60,37
1614824902.0684218,60,37
1614824902.111829,28,37
1614824902.123252,83,37
1614824902.1270342,84,37
1614824902.1476429,57,37
1614824902.160892,33,37
1614824902.171561,37,37
1614824902.185733,36,37
1614824902.189632,24,37
1614824902.189632,24,37
1614824902.222768,22,37
1614824902.2368262,82,37
1614824902.247069,72,37
1614824902.2506812,59,37
1614824902.273704,56,37
1614824902.273704,56,37
1614824902.273704,56,37
1614824902.273704,56,37
