timestamp,raw_value,attention
1614824749.363988,20,29
1614824749.3751948,54,29
1614824749.386505,54,29
1614824749.398008,76,29
1614824749.409256,105,29
1614824749.424273,101,29
1614824749.435366,67,29
1614824749.447244,34,29
1614824749.458411,81,29
1614824749.469599,21,29
1614824749.480479,76,29
1614824749.485296,56,29
1614824749.5059829,66,29
1614824749.518336,106,29
1614824749.5325031,71,29
1614824749.5325031,71,29
1614824749.555786,60,29
1614824749.56692,42,29
1614824749.5781739,102,29
1614824749.592932,9,29
1614824749.604463,32,29
1614824749.615564,53,29
1614824749.626592,60,29
1614824749.642306,99,29
1614824749.653266,65,29
1614824749.6645818,100,29
1614824749.675679,69,29
1614824749.690662,58,29
1614824749.6981251,72,29
1614824749.7145548,32,29
1614824749.7261078,81,29
1614824749.737,57,29
1614824749.7481751,50,29
1614824749.7597609,1,29
1614824749.7706392,36,29
1614824749.785651,56,29
1614824749.7972941,81,29
1614824749.808577,83,29
1614824749.8233302,41,29
1614824749.831871,35,29
1614824749.831871,35,29
1614824749.858906,68,29
1614824749.869555,43,29
1614824749.8803341,86,29
1614824749.8803341,86,29
1614824749.8803341,86,29
1614824749.8803341,86,29
1614824749.8803341,86,29
1614824749.944269,74,29
1614824749.944269,74,29
1614824749.9687018,73,29
1614824749.981605,96,29
1614824749.9933782,69,29
1614824749.9933782,69,29
1614824749.9933782,69,29
1614824750.02912,45,29
1614824750.042455,99,29
1614824750.042455,99,29
1614824750.042455,99,29
1614824750.077693,101,29
1614824750.087353,54,29
1614824750.094985,141,29
1614824750.094985,141,29
1614824750.094985,141,29
1614824750.140239,139,29
1614824750.140239,139,29
1614824750.140239,139,29
1614824750.140239,139,29
1614824750.140239,139,29
1614824750.140239,139,29
1614824750.210691,86,29
1614824750.2228851,92,29
1614824750.228717,53,29
1614824750.228717,53,29
1614824750.228717,53,29
1614824750.228717,53,29
1614824750.228717,53,29
1614824750.296376,85,29
1614824750.3059719,68,29
1614824750.3203142,17,29
1614824750.331975,-2,40
1614824750.343214,-14,40
1614824750.358485,29,40
1614824750.369398,13,40
1614824750.381025,44,40
1614824750.391884,28,40
1614824750.4038558,44,40
1614824750.4146738,32,40
1614824750.423021,35,40
1614824750.431968,76,40
1614824750.431968,76,40
1614824750.462168,53,40
1614824750.4733598,119,40
1614824750.484034,69,40
1614824750.497443,38,40
1614824750.5115871,48,40
1614824750.521885,51,40
1614824750.534535,57,40
1614824750.54576,34,40
1614824750.5568671,93,40
1614824750.5681899,74,40
1614824750.579394,59,40
1614824750.594591,68,40
1614824750.6055622,72,40
1614824750.6131341,55,40
1614824750.627581,76,40
1614824750.638415,72,40
1614824750.649717,67,40
1614824750.6606889,41,40
1614824750.675337,54,40
1614824750.685794,35,40
1614824750.697417,20,40
1614824750.697417,20,40
1614824750.697417,20,40
1614824750.7336938,48,40
1614824750.7336938,48,40
1614824750.7336938,48,40
1614824750.7336938,48,40
1614824750.784843,106,40
1614824750.79858,72,40
1614824750.805944,41,40
1614824750.805944,41,40
1614824750.805944,41,40
1614824750.845412,43,40
1614824750.8560908,125,40
