,timestamp,raw_value,attention,delta
0,0,35,53,0.0
1,1,28,53,0.01347494125366211
2,2,92,53,0.028157949447631836
3,3,56,53,0.039576053619384766
4,4,5,53,0.05137014389038086
5,5,7,53,0.06232810020446777
6,6,66,53,0.0770871639251709
7,7,75,53,0.08784794807434082
8,8,80,53,0.10163092613220215
9,9,83,53,0.11250519752502441
10,10,37,53,0.12233304977416992
11,11,51,53,0.13052105903625488
12,12,51,53,0.13052105903625488
13,13,74,53,0.15868902206420898
14,14,116,53,0.17154240608215332
15,15,116,53,0.18161582946777344
16,16,44,53,0.19629812240600586
17,17,5,53,0.20746064186096191
18,18,24,53,0.21534419059753418
19,19,52,53,0.22075319290161133
20,20,52,53,0.22075319290161133
21,21,101,53,0.2552950382232666
22,22,114,53,0.26970601081848145
23,23,38,53,0.2805008888244629
24,24,35,53,0.2948951721191406
25,25,42,53,0.3067150115966797
26,26,28,53,0.317425012588501
27,27,73,53,0.3290219306945801
28,28,53,53,0.33994102478027344
29,29,48,53,0.3515338897705078
30,30,18,53,0.3667490482330322
31,31,57,53,0.3775320053100586
32,32,58,53,0.3924381732940674
33,33,64,53,0.3999302387237549
34,34,60,53,0.41492199897766113
35,35,102,53,0.42644715309143066
36,36,89,53,0.4302022457122803
37,37,89,53,0.4302022457122803
38,38,89,53,0.4302022457122803
39,39,89,53,0.4302022457122803
40,40,89,53,0.4302022457122803
41,41,52,53,0.5013258457183838
42,42,97,53,0.515052080154419
43,43,26,53,0.5252559185028076
44,44,18,53,0.528975248336792
45,45,18,53,0.528975248336792
46,46,18,53,0.528975248336792
47,47,90,53,0.5744509696960449
48,48,109,53,0.5857620239257812
49,49,103,53,0.5958309173583984
50,50,55,53,0.6077280044555664
51,51,44,53,0.6203670501708984
52,52,44,53,0.6338009834289551
53,53,37,53,0.6386702060699463
54,54,32,53,0.6540281772613525
55,55,32,53,0.6540281772613525
56,56,32,53,0.6540281772613525
57,57,32,53,0.6540281772613525
58,58,3,53,0.7063920497894287
59,59,71,53,0.7179272174835205
60,60,65,53,0.7211160659790039
61,61,65,53,0.7211160659790039
62,62,65,53,0.7211160659790039
63,63,26,53,0.7642936706542969
64,64,108,53,0.7777221202850342
65,65,108,53,0.785330057144165
66,66,108,53,0.785330057144165
67,67,48,53,0.8117408752441406
68,68,72,53,0.8175790309906006
69,69,72,53,0.8175790309906006
70,70,72,53,0.8175790309906006
71,71,60,53,0.8634600639343262
72,72,88,53,0.8776710033416748
73,73,40,53,0.8852329254150391
74,74,40,53,0.8852329254150391
75,75,40,53,0.8852329254150391
76,76,9,53,0.9237451553344727
77,77,-17,53,0.9275531768798828
78,78,103,54,0.9477300643920898
79,79,65,54,0.9586398601531982
80,80,65,54,0.9699399471282959
81,81,1,54,0.9811909198760986
82,82,1,54,0.9938030242919922
83,83,12,54,1.0051672458648682
84,84,34,54,1.016160011291504
85,85,61,54,1.0277221202850342
86,86,85,54,1.031553030014038
87,87,97,54,1.0547289848327637
88,88,82,54,1.0660128593444824
89,89,86,54,1.0772600173950195
90,90,34,54,1.0917351245880127
91,91,23,54,1.102647066116333
92,92,52,54,1.1140258312225342
93,93,70,54,1.1250078678131104
94,94,45,54,1.1401479244232178
95,95,81,54,1.1515140533447266
96,96,59,54,1.1665451526641846
97,97,84,54,1.177535057067871
98,98,84,54,1.1888279914855957
99,99,59,54,1.200101613998413
100,100,72,54,1.211379051208496
101,101,89,54,1.2259540557861328
102,102,59,54,1.2372488975524902
103,103,59,54,1.2483410835266113
104,104,84,54,1.2595272064208984
105,105,61,54,1.2742998600006104
106,106,44,54,1.2816479206085205
107,107,32,54,1.297989845275879
108,108,84,54,1.3128259181976318
