,timestamp,raw_value,attention,delta
0,0,44,27,0.0
1,1,155,27,0.009191036224365234
2,2,59,27,0.023829221725463867
3,3,22,27,0.03523612022399902
4,4,9,27,0.04653573036193848
5,5,43,27,0.05822396278381348
6,6,36,27,0.07277822494506836
7,7,48,27,0.08401703834533691
8,8,97,27,0.09575986862182617
9,9,107,27,0.10681319236755371
10,10,43,27,0.11818408966064453
11,11,70,27,0.13348889350891113
12,12,69,27,0.14508605003356934
13,13,53,27,0.15521025657653809
14,14,80,27,0.16697406768798828
15,15,55,27,0.18314099311828613
16,16,9,27,0.1938471794128418
17,17,98,27,0.20581316947937012
18,18,88,27,0.22039294242858887
19,19,68,27,0.23152589797973633
20,20,71,27,0.24293112754821777
21,21,97,27,0.2470839023590088
22,22,97,27,0.2470839023590088
23,23,44,27,0.27790093421936035
24,24,28,27,0.2820851802825928
25,25,28,27,0.2820851802825928
26,26,61,27,0.3156881332397461
27,27,103,27,0.3290517330169678
28,28,61,27,0.34131646156311035
29,29,3,27,0.349506139755249
30,30,1,27,0.3619840145111084
31,31,82,27,0.3756589889526367
32,32,61,27,0.38794708251953125
33,33,61,27,0.38794708251953125
34,34,56,27,0.41168999671936035
35,35,48,27,0.42687487602233887
36,36,58,27,0.43755602836608887
37,37,58,27,0.44963908195495605
38,38,73,27,0.46317291259765625
39,39,57,27,0.47281908988952637
40,40,48,27,0.486483097076416
41,41,50,27,0.49162912368774414
42,42,44,27,0.5105290412902832
43,43,37,27,0.5226950645446777
44,44,99,27,0.5348844528198242
45,45,43,27,0.5473260879516602
46,46,22,27,0.5602860450744629
47,47,38,27,0.5716500282287598
48,48,66,27,0.5822310447692871
49,49,102,27,0.592440128326416
50,50,102,27,0.592440128326416
51,51,102,27,0.592440128326416
52,52,102,27,0.592440128326416
53,53,102,27,0.592440128326416
54,54,85,34,0.6528799533843994
55,55,113,34,0.6668610572814941
56,56,115,34,0.669274091720581
57,57,32,34,0.691248893737793
58,58,65,34,0.7034852504730225
59,59,65,34,0.7034852504730225
60,60,65,34,0.7034852504730225
61,61,41,34,0.7385170459747314
62,62,124,34,0.7528622150421143
63,63,64,34,0.7630200386047363
64,64,26,34,0.7670071125030518
65,65,26,34,0.7670071125030518
66,66,64,34,0.8030741214752197
67,67,69,34,0.8166131973266602
68,68,71,34,0.8269250392913818
69,69,49,34,0.8383111953735352
70,70,66,34,0.8492441177368164
71,71,36,34,0.8603851795196533
72,72,33,34,0.8716051578521729
73,73,53,34,0.8829090595245361
74,74,54,34,0.8949539661407471
75,75,67,34,0.9064841270446777
76,76,53,34,0.9176731109619141
77,77,60,34,0.9295740127563477
78,78,75,34,0.9446570873260498
79,79,59,34,0.955369234085083
80,80,97,34,0.9669930934906006
81,81,58,34,0.9777450561523438
82,82,64,34,0.9904100894927979
83,83,42,34,1.000380039215088
84,84,70,34,1.0107362270355225
85,85,70,34,1.0107362270355225
86,86,88,34,1.037822961807251
87,87,84,34,1.0514330863952637
88,88,70,34,1.0602951049804688
89,89,27,34,1.0754971504211426
90,90,53,34,1.0864739418029785
91,91,44,34,1.0983240604400635
92,92,66,34,1.1128158569335938
93,93,69,34,1.124082088470459
