timestamp,raw_value,attention
1614825019.808922,69,40
1614825019.820072,34,40
1614825019.834843,45,40
1614825019.845548,34,40
1614825019.8596559,4,40
1614825019.863482,42,40
1614825019.8822389,51,40
1614825019.893513,107,40
1614825019.903363,99,40
1614825019.903363,99,40
1614825019.903363,99,40
1614825019.940796,84,40
1614825019.940796,84,40
1614825019.940796,84,40
1614825019.940796,84,40
1614825019.940796,84,40
1614825019.940796,84,40
1614825019.940796,84,40
1614825020.016653,77,40
1614825020.016653,77,40
1614825020.016653,77,40
1614825020.016653,77,40
1614825020.070091,122,40
1614825020.070091,122,40
1614825020.070091,122,40
1614825020.070091,122,40
1614825020.124985,85,40
1614825020.139542,73,40
1614825020.139542,73,40
1614825020.139542,73,40
1614825020.176555,71,40
1614825020.189824,22,40
1614825020.199868,60,40
1614825020.199868,60,40
1614825020.199868,60,40
1614825020.199868,60,40
1614825020.199868,60,40
1614825020.262319,5,40
1614825020.27723,102,40
1614825020.27723,102,40
1614825020.299856,84,40
1614825020.3148391,1,40
1614825020.3256881,35,40
1614825020.337473,22,40
1614825020.3484201,43,40
1614825020.359894,24,40
1614825020.3748422,-18,40
1614825020.385643,-67,40
1614825020.397301,-1,37
1614825020.4083788,26,37
1614825020.4198039,5,37
1614825020.434613,53,37
1614825020.445642,83,37
1614825020.457383,152,37
1614825020.468281,73,37
1614825020.47979,86,37
1614825020.490627,72,37
1614825020.5022879,54,37
1614825020.513263,56,37
1614825020.525152,60,37
1614825020.535674,37,37
1614825020.539754,53,37
1614825020.539754,53,37
1614825020.539754,53,37
1614825020.539754,53,37
1614825020.539754,53,37
1614825020.6118348,119,37
1614825020.623845,82,37
1614825020.629707,85,37
1614825020.645545,118,37
1614825020.6527512,115,37
1614825020.6527512,115,37
1614825020.676621,88,37
1614825020.676621,88,37
1614825020.676621,88,37
1614825020.722295,77,37
1614825020.736379,67,37
1614825020.744659,54,37
1614825020.744659,54,37
1614825020.744659,54,37
1614825020.7785752,37,37
1614825020.795062,85,37
1614825020.805944,16,37
1614825020.820738,7,37
1614825020.8284218,19,37
1614825020.834481,32,37
1614825020.834481,32,37
1614825020.866959,32,37
1614825020.8819,102,37
1614825020.89235,108,37
1614825020.905118,27,37
1614825020.905118,27,37
1614825020.929012,22,37
1614825020.942867,134,37
1614825020.9556942,76,37
1614825020.9679182,23,37
1614825020.972012,18,37
1614825020.972012,18,37
1614825021.003922,54,37
1614825021.0158,72,37
1614825021.0264478,68,37
1614825021.037641,55,37
1614825021.045506,91,37
1614825021.061669,90,37
1614825021.0726368,52,37
1614825021.0840871,67,37
1614825021.099425,49,37
1614825021.110223,61,37
1614825021.12198,21,37
1614825021.133387,33,37
1614825021.137901,27,37
1614825021.137901,27,37
1614825021.165749,73,37
1614825021.18146,83,37
1614825021.1915488,41,37
1614825021.203201,18,37
1614825021.215019,17,37
1614825021.225777,9,37
1614825021.24069,24,37
