timestamp,raw_value,attention
1614826196.085343,70,84
1614826196.099199,88,84
1614826196.115105,69,84
1614826196.1298811,54,84
1614826196.145165,96,84
1614826196.1565561,77,84
1614826196.160309,84,84
1614826196.179103,55,84
1614826196.191558,135,84
1614826196.191558,135,84
1614826196.191558,135,84
1614826196.23681,138,84
1614826196.247308,154,84
1614826196.258925,104,84
1614826196.267981,68,84
1614826196.294037,17,84
1614826196.303201,27,84
1614826196.318827,76,84
1614826196.3270772,52,84
1614826196.3270772,52,84
1614826196.3270772,52,84
1614826196.372031,-6,84
1614826196.3838809,83,84
1614826196.3902788,60,84
1614826196.3902788,60,84
1614826196.427289,40,84
1614826196.4415512,53,84
1614826196.4415512,53,84
1614826196.4415512,53,84
1614826196.4805892,54,84
1614826196.490997,45,84
1614826196.490997,45,84
1614826196.490997,45,84
1614826196.490997,45,84
1614826196.551299,72,84
1614826196.564679,73,84
1614826196.577295,12,84
1614826196.592725,21,84
1614826196.6044002,12,84
1614826196.616549,53,84
1614826196.633168,28,84
1614826196.6477141,60,84
1614826196.658533,76,84
1614826196.6699572,71,84
1614826196.681406,83,84
1614826196.6933818,76,84
1614826196.704028,82,84
1614826196.715199,81,84
1614826196.730211,52,84
1614826196.7464151,85,84
1614826196.762609,104,84
1614826196.762609,104,84
1614826196.762609,104,84
1614826196.762609,104,84
1614826196.8195589,70,84
1614826196.823873,76,84
1614826196.8501592,105,84
1614826196.861459,77,84
1614826196.873025,92,84
1614826196.8886971,7,84
1614826196.899888,27,84
1614826196.907258,7,84
1614826196.92237,13,84
1614826196.933881,23,84
1614826196.9449668,35,84
1614826196.957134,61,84
1614826196.9676428,54,84
1614826196.979412,90,84
1614826196.994049,48,84
1614826197.009094,3,84
1614826197.024831,74,84
1614826197.036463,85,84
1614826197.0453608,85,84
1614826197.05632,50,84
1614826197.0715039,53,84
1614826197.087562,32,84
1614826197.0928352,54,84
1614826197.117426,59,84
1614826197.130985,130,84
1614826197.1440809,75,84
1614826197.154911,49,84
1614826197.174391,23,90
1614826197.185045,52,90
1614826197.200224,34,90
1614826197.211939,29,90
1614826197.227547,36,90
1614826197.23858,57,90
1614826197.250324,100,90
1614826197.2655969,67,90
1614826197.276504,48,90
1614826197.291462,43,90
1614826197.303494,80,90
1614826197.31871,32,90
1614826197.329885,76,90
1614826197.341797,50,90
1614826197.352602,98,90
1614826197.3676329,51,90
1614826197.382711,117,90
1614826197.390908,85,90
1614826197.390908,85,90
1614826197.421529,53,90
1614826197.436067,112,90
1614826197.451038,26,90
1614826197.463316,55,90
1614826197.4683661,76,90
1614826197.4683661,76,90
1614826197.513932,84,90
1614826197.525974,87,90
1614826197.541055,69,90
1614826197.553375,40,90
1614826197.568946,2,90
1614826197.584224,60,90
1614826197.596537,80,90
1614826197.607429,24,90
1614826197.622559,36,90
1614826197.637821,72,90
1614826197.6528692,26,90
1614826197.667697,65,90
1614826197.6827772,65,90
1614826197.6911948,60,90
1614826197.6911948,60,90
1614826197.7226272,16,90
1614826197.7380831,105,90
1614826197.753451,106,90
1614826197.7652721,98,90
1614826197.776413,77,90
1614826197.791616,64,90
1614826197.806425,57,90
1614826197.8166752,34,90
1614826197.831052,49,90
1614826197.842367,65,90
1614826197.853516,70,90
1614826197.8686998,65,90
1614826197.879869,72,90
1614826197.891859,37,90
1614826197.906719,24,90
1614826197.921678,83,90
1614826197.9367309,60,90
1614826197.9488902,70,90
1614826197.9641228,103,90
1614826197.974813,59,90
1614826197.9867,65,90
1614826197.9912992,76,90
1614826197.9912992,76,90
1614826198.0285828,56,90
1614826198.040757,112,90
1614826198.0583649,90,90
1614826198.07409,87,90
1614826198.088469,32,90
1614826198.1035311,18,90
1614826198.1160882,37,90
1614826198.130045,12,90
1614826198.1448388,148,90
1614826198.159796,121,90
1614826198.175554,101,90
1614826198.1864269,93,90
1614826198.201828,41,90
1614826198.2170749,58,90
1614826198.2285671,91,90
1614826198.243856,72,90
1614826198.259457,49,90
1614826198.2750778,21,90
1614826198.284108,36,90
1614826198.284108,36,90
1614826198.3146508,10,90
1614826198.329418,103,90
1614826198.34027,85,90
1614826198.34027,85,90
1614826198.34027,85,90
1614826198.386559,44,90
1614826198.386559,44,90
1614826198.386559,44,90
1614826198.429513,88,90
1614826198.441482,85,90
1614826198.452696,64,90
1614826198.452696,64,90
1614826198.488838,18,90
1614826198.504034,128,90
1614826198.5115001,113,90
1614826198.5115001,113,90
1614826198.5467389,115,90
1614826198.560357,43,90
1614826198.574768,33,90
1614826198.589185,48,90
1614826198.589185,48,90
1614826198.589185,48,90
1614826198.635478,64,90
1614826198.649056,67,90
1614826198.664256,-1,90
1614826198.664256,-1,90
