timestamp,raw_value,attention
1614826316.319752,29,43
1614826316.3322911,70,43
1614826316.346889,52,43
1614826316.3621068,69,43
1614826316.3621068,69,43
1614826316.3621068,69,43
1614826316.4076118,26,43
1614826316.418807,91,43
1614826316.418807,91,43
1614826316.418807,91,43
1614826316.462036,43,43
1614826316.478923,104,43
1614826316.4839401,136,43
1614826316.4839401,136,43
1614826316.4839401,136,43
1614826316.4839401,136,43
1614826316.4839401,136,43
1614826316.561183,108,43
1614826316.567255,37,43
1614826316.592354,100,43
1614826316.602241,69,43
1614826316.616122,60,43
1614826316.630934,80,43
1614826316.6349099,53,43
1614826316.6349099,53,43
1614826316.672019,34,43
1614826316.687159,96,43
1614826316.6971881,29,43
1614826316.6971881,29,43
1614826316.6971881,29,43
1614826316.7412171,34,43
1614826316.755976,10,43
1614826316.759808,8,43
1614826316.759808,8,43
1614826316.794056,10,43
1614826316.794056,10,43
1614826316.826473,89,43
1614826316.844787,69,43
1614826316.857111,38,43
1614826316.8735292,39,43
1614826316.888318,23,43
1614826316.9037042,16,43
1614826316.9192262,69,43
1614826316.934549,57,43
1614826316.945945,3,43
1614826316.959043,50,43
1614826316.973325,70,43
1614826316.988353,59,43
1614826317.003372,75,43
1614826317.01608,116,43
1614826317.028544,65,43
1614826317.0425699,73,43
1614826317.0565429,66,43
1614826317.0667431,83,43
1614826317.077494,70,43
1614826317.080968,61,43
1614826317.080968,61,43
1614826317.117812,77,43
1614826317.134233,128,43
1614826317.149645,85,43
1614826317.149921,96,43
1614826317.176707,76,57
1614826317.188027,59,57
1614826317.199394,73,57
1614826317.214475,26,57
1614826317.226162,41,57
1614826317.24103,100,57
1614826317.2555578,49,57
1614826317.266546,84,57
1614826317.283086,43,57
1614826317.297993,45,57
1614826317.3129861,27,57
1614826317.324809,53,57
1614826317.339374,68,57
1614826317.351043,51,57
1614826317.365986,41,57
1614826317.376954,56,57
1614826317.389236,65,57
1614826317.389236,65,57
1614826317.419132,73,57
1614826317.432148,100,57
1614826317.445719,38,57
1614826317.456948,44,57
1614826317.472492,60,57
1614826317.488239,49,57
1614826317.499286,13,57
1614826317.514053,52,57
1614826317.528998,66,57
1614826317.536414,42,57
1614826317.551567,26,57
1614826317.5547159,51,57
1614826317.5547159,51,57
1614826317.590917,55,57
1614826317.602263,91,57
1614826317.6155882,67,57
1614826317.629222,64,57
1614826317.6457129,41,57
1614826317.6457129,41,57
1614826317.674455,27,57
1614826317.690017,67,57
1614826317.690017,67,57
1614826317.7180219,71,57
1614826317.733448,93,57
1614826317.747159,65,57
1614826317.762964,12,57
1614826317.778155,1,57
1614826317.78936,66,57
1614826317.79608,59,57
1614826317.812774,50,57
1614826317.82833,83,57
1614826317.843387,38,57
1614826317.855662,32,57
1614826317.87027,77,57
1614826317.882139,39,57
1614826317.8930519,66,57
1614826317.904669,59,57
1614826317.915675,64,57
1614826317.930644,57,57
1614826317.946176,82,57
1614826317.961397,72,57
1614826317.972824,99,57
1614826317.9880462,50,57
1614826317.9883862,50,57
1614826318.013037,55,57
1614826318.0276349,76,57
1614826318.043276,101,57
1614826318.054291,57,57
1614826318.068704,57,57
1614826318.0794508,27,57
1614826318.093459,26,57
1614826318.107761,43,57
1614826318.1214468,37,57
1614826318.131331,66,57
1614826318.145708,108,57
1614826318.157068,69,57
1614826318.173405,140,50
1614826318.184295,97,50
1614826318.1989398,52,50
1614826318.212397,51,50
1614826318.2231722,41,50
1614826318.23888,92,50
1614826318.254482,56,50
1614826318.270015,49,50
1614826318.2847428,3,50
1614826318.289526,17,50
1614826318.312737,21,50
1614826318.330333,160,50
1614826318.3371,156,50
1614826318.3371,156,50
1614826318.370946,130,50
1614826318.373472,104,50
1614826318.373472,104,50
1614826318.373472,104,50
1614826318.42866,68,50
1614826318.42866,68,50
1614826318.4513652,49,50
1614826318.4513652,49,50
1614826318.4513652,49,50
1614826318.4959428,20,50
1614826318.514803,109,50
1614826318.514803,109,50
1614826318.514803,109,50
1614826318.5583098,66,50
1614826318.572094,117,50
1614826318.584626,71,50
1614826318.598907,55,50
1614826318.603436,93,50
1614826318.603436,93,50
1614826318.641386,60,50
1614826318.65595,97,50
1614826318.670877,21,50
1614826318.676673,48,50
1614826318.676673,48,50
1614826318.711257,38,50
1614826318.727384,98,50
1614826318.727384,98,50
1614826318.727384,98,50
1614826318.767509,77,50
1614826318.782775,80,50
1614826318.795917,49,50
1614826318.8071969,16,50
1614826318.8071969,16,50
1614826318.843269,42,50
1614826318.8575108,58,50
1614826318.8683531,40,50
1614826318.8683531,40,50
1614826318.9011562,50,50
1614826318.911555,61,50
1614826318.911555,61,50
1614826318.911555,61,50
1614826318.911555,61,50
1614826318.9682271,71,50
1614826318.9752488,40,50
1614826318.98992,92,50
1614826318.98992,92,50
1614826318.98992,92,50
1614826319.03474,48,50
1614826319.03474,48,50
1614826319.03474,48,50
1614826319.03474,48,50
1614826319.095545,42,50
1614826319.108254,113,50
1614826319.1103191,86,50
1614826319.1103191,86,50
1614826319.1103191,86,50
1614826319.1103191,86,50
1614826319.175443,74,50
1614826319.18503,82,40
1614826319.195345,77,40
1614826319.195345,77,40
1614826319.231219,77,40
1614826319.2351072,68,40
1614826319.2351072,68,40
1614826319.2351072,68,40
1614826319.286358,52,40
1614826319.301677,120,40
1614826319.308405,51,40
1614826319.308405,51,40
1614826319.341215,33,40
1614826319.35685,52,40
1614826319.367212,37,40
1614826319.367212,37,40
1614826319.367212,37,40
1614826319.409014,16,40
1614826319.41968,26,40
1614826319.431066,7,40
1614826319.431066,7,40
1614826319.46351,7,40
1614826319.477723,101,40
1614826319.485982,58,40
1614826319.485982,58,40
1614826319.5185049,45,40
1614826319.5365078,103,40
1614826319.5490298,70,40
1614826319.5641909,98,40
1614826319.5791051,98,40
1614826319.5910301,49,40
1614826319.606889,38,40
1614826319.617315,4,40
1614826319.6321259,36,40
1614826319.638716,24,40
1614826319.6617868,37,40
1614826319.6760461,86,40
1614826319.6872709,38,40
1614826319.6872709,38,40
1614826319.6872709,38,40
1614826319.730866,-25,40
1614826319.7495391,136,40
1614826319.7526588,130,40
1614826319.7526588,130,40
1614826319.7882628,123,40
1614826319.8050098,52,40
1614826319.812097,45,40
1614826319.812097,45,40
1614826319.848772,48,40
1614826319.859537,-17,40
1614826319.859537,-17,40
1614826319.859537,-17,40
1614826319.903765,86,40
1614826319.911815,17,40
1614826319.924343,81,40
1614826319.924343,81,40
1614826319.924343,81,40
1614826319.969184,65,40
1614826319.9844658,88,40
1614826319.9844658,88,40
1614826319.9844658,88,40
1614826320.023956,72,40
1614826320.03926,86,40
1614826320.0461,67,40
1614826320.066483,20,40
1614826320.0781481,43,40
1614826320.0890749,29,40
1614826320.100199,-9,40
1614826320.1051211,27,40
1614826320.1051211,27,40
1614826320.143549,40,40
1614826320.1553879,67,40
1614826320.17013,58,35
1614826320.184322,55,35
1614826320.193816,37,35
1614826320.207893,76,35
1614826320.225279,35,35
1614826320.239095,53,35
1614826320.2533262,7,35
1614826320.268266,52,35
1614826320.2790358,50,35
1614826320.291073,24,35
1614826320.302165,57,35
1614826320.317992,87,35
1614826320.331711,32,35
1614826320.3429608,59,35
1614826320.353867,93,35
1614826320.368856,89,35
1614826320.383879,118,35
1614826320.399245,108,35
1614826320.403732,113,35
1614826320.403732,113,35
1614826320.440707,84,35
1614826320.4554272,73,35
1614826320.466867,26,35
1614826320.4819121,61,35
1614826320.49771,100,35
1614826320.512532,67,35
1614826320.527841,102,35
1614826320.539781,56,35
1614826320.5508218,21,35
1614826320.561366,17,35
1614826320.561366,17,35
1614826320.561366,17,35
1614826320.561366,17,35
1614826320.561366,17,35
1614826320.6404061,72,35
1614826320.652529,82,35
1614826320.6630132,88,35
1614826320.678238,49,35
1614826320.6925728,43,35
