timestamp,raw_value,attention
1614826166.097899,54,70
1614826166.097899,54,70
1614826166.097899,54,70
1614826166.1307251,105,70
1614826166.1307251,105,70
1614826166.1654148,44,70
1614826166.18254,80,83
1614826166.184012,98,83
1614826166.184012,98,83
1614826166.184012,98,83
1614826166.2328682,80,83
1614826166.2415879,58,83
1614826166.247608,28,83
1614826166.247608,28,83
1614826166.247608,28,83
1614826166.300728,104,83
1614826166.3142369,49,83
1614826166.3142369,49,83
1614826166.3142369,49,83
1614826166.3531961,34,83
1614826166.366776,53,83
1614826166.3818161,23,83
1614826166.3818161,23,83
1614826166.3818161,23,83
1614826166.421551,-10,83
1614826166.438258,56,83
1614826166.452512,119,83
1614826166.466207,88,83
1614826166.477536,65,83
1614826166.488876,33,83
1614826166.504143,3,83
1614826166.519124,52,83
1614826166.534236,0,83
1614826166.549842,9,83
1614826166.549842,9,83
1614826166.576679,27,83
1614826166.594568,23,83
1614826166.606234,16,83
1614826166.617903,16,83
1614826166.628979,41,83
1614826166.640207,58,83
1614826166.656181,69,83
1614826166.670296,50,83
1614826166.674329,49,83
1614826166.674329,49,83
1614826166.7126029,72,83
1614826166.7238772,114,83
1614826166.7352471,134,83
1614826166.7352471,134,83
1614826166.764547,137,83
1614826166.764547,137,83
1614826166.764547,137,83
1614826166.764547,137,83
1614826166.822239,113,83
1614826166.830351,55,83
1614826166.830351,55,83
1614826166.830351,55,83
1614826166.830351,55,83
1614826166.8900402,156,83
1614826166.904862,104,83
1614826166.9186869,59,83
1614826166.930627,60,83
1614826166.946441,6,83
1614826166.961625,50,83
1614826166.97618,33,83
1614826166.9880261,22,83
1614826167.003314,-2,83
1614826167.019108,106,83
1614826167.034133,42,83
1614826167.045147,67,83
1614826167.058559,87,83
1614826167.068107,101,83
1614826167.068107,101,83
1614826167.068107,101,83
1614826167.068107,101,83
1614826167.126972,76,83
1614826167.1397061,123,83
1614826167.1397061,123,83
1614826167.1397061,123,83
1614826167.180238,87,83
1614826167.1952121,76,84
1614826167.1952121,76,84
1614826167.1952121,76,84
1614826167.234537,89,84
1614826167.244807,37,84
1614826167.2591958,9,84
1614826167.262923,8,84
1614826167.287185,23,84
1614826167.304945,82,84
1614826167.3154209,60,84
1614826167.318789,34,84
1614826167.346279,16,84
1614826167.3611789,69,84
1614826167.3757179,34,84
1614826167.382866,-3,84
1614826167.3965728,34,84
1614826167.414984,72,84
1614826167.430254,72,84
1614826167.445333,2,84
1614826167.450165,9,84
1614826167.450165,9,84
1614826167.482914,44,84
1614826167.500075,150,84
1614826167.5115101,135,84
1614826167.5155048,136,84
1614826167.5155048,136,84
1614826167.552763,100,84
1614826167.566695,81,84
1614826167.5779378,54,84
1614826167.5779378,54,84
1614826167.5779378,54,84
1614826167.6207092,34,84
1614826167.6355221,65,84
1614826167.6355221,65,84
1614826167.6355221,65,84
1614826167.6355221,65,84
1614826167.6355221,65,84
1614826167.700347,49,84
1614826167.717916,128,84
1614826167.73212,-6,84
1614826167.744124,-2,84
1614826167.752863,8,84
1614826167.774046,21,84
1614826167.78562,75,84
1614826167.794522,107,84
1614826167.794522,107,84
1614826167.794522,107,84
1614826167.831336,96,84
1614826167.8444521,102,84
1614826167.856571,65,84
1614826167.856571,65,84
1614826167.8808289,22,84
1614826167.891535,90,84
1614826167.899269,52,84
1614826167.899269,52,84
1614826167.899269,52,84
1614826167.949862,85,84
1614826167.9616158,53,84
1614826167.9616158,53,84
1614826167.9616158,53,84
1614826167.994334,45,84
1614826168.018241,77,84
1614826168.032097,66,84
1614826168.036248,41,84
1614826168.036248,41,84
1614826168.074021,8,84
1614826168.092384,17,84
1614826168.092384,17,84
1614826168.092384,17,84
1614826168.134069,67,84
1614826168.150513,86,84
1614826168.159112,85,81
1614826168.159112,85,81
1614826168.191909,72,81
1614826168.195282,72,81
1614826168.195282,72,81
1614826168.195282,72,81
1614826168.195282,72,81
1614826168.2572548,26,81
1614826168.266034,34,81
1614826168.266034,34,81
1614826168.266034,34,81
1614826168.3114161,49,81
1614826168.330016,52,81
1614826168.341137,65,81
1614826168.349747,27,81
1614826168.372444,32,81
1614826168.384056,77,81
1614826168.397054,139,81
1614826168.407608,50,81
1614826168.4200351,33,81
1614826168.4304159,23,81
1614826168.4471428,64,81
1614826168.451948,64,81
1614826168.477637,45,81
1614826168.4907641,73,81
1614826168.505376,32,81
1614826168.509496,69,81
1614826168.509496,69,81
1614826168.550143,35,81
1614826168.565237,12,81
1614826168.569023,-2,81
1614826168.569023,-2,81
1614826168.569023,-2,81
1614826168.569023,-2,81
1614826168.569023,-2,81
1614826168.647059,11,81
1614826168.660446,45,81
1614826168.660446,45,81
1614826168.660446,45,81
1614826168.660446,45,81
1614826168.660446,45,81
1614826168.731043,89,81
1614826168.741141,89,81
1614826168.7562602,-2,81
1614826168.77132,-39,81
1614826168.786468,58,81
1614826168.797923,32,81
1614826168.815957,55,81
1614826168.828355,96,81
1614826168.843081,20,81
1614826168.857016,12,81
1614826168.871624,71,81
1614826168.886564,97,81
1614826168.901555,112,81
1614826168.916011,58,81
1614826168.9312682,105,81
1614826168.943072,26,81
1614826168.9471629,34,81
1614826168.9737332,59,81
1614826168.986443,71,81
1614826168.996408,112,81
1614826169.014893,97,81
1614826169.030177,58,81
1614826169.045537,74,81
1614826169.0565782,56,81
1614826169.0677571,-6,81
1614826169.0824478,18,81
1614826169.094141,101,81
1614826169.109359,74,81
1614826169.1236422,80,81
1614826169.133698,55,81
1614826169.1460218,76,81
1614826169.1460218,76,81
1614826169.180696,70,81
1614826169.194572,106,94
1614826169.208748,36,94
1614826169.220188,39,94
1614826169.224129,27,94
1614826169.224129,27,94
1614826169.258184,7,94
1614826169.265246,-38,94
1614826169.265246,-38,94
1614826169.265246,-38,94
1614826169.265246,-38,94
1614826169.265246,-38,94
1614826169.3351989,139,94
1614826169.3485508,138,94
1614826169.3540428,34,94
1614826169.3540428,34,94
1614826169.3917198,34,94
1614826169.4067972,67,94
1614826169.4067972,67,94
1614826169.4067972,67,94
1614826169.452542,29,94
1614826169.466434,80,94
1614826169.470222,75,94
1614826169.470222,75,94
1614826169.5120902,-2,94
1614826169.526676,41,94
1614826169.530406,50,94
1614826169.5554729,56,94
1614826169.5554729,56,94
1614826169.589349,101,94
1614826169.5964491,59,94
1614826169.5964491,59,94
1614826169.629069,44,94
1614826169.63297,58,94
1614826169.63297,58,94
1614826169.63297,58,94
1614826169.690379,115,94
1614826169.700747,52,94
1614826169.700747,52,94
1614826169.700747,52,94
1614826169.746807,33,94
1614826169.760531,74,94
1614826169.77404,18,94
1614826169.785467,8,94
1614826169.785467,8,94
1614826169.785467,8,94
1614826169.826815,18,94
1614826169.834133,-9,94
1614826169.834133,-9,94
1614826169.834133,-9,94
1614826169.834133,-9,94
1614826169.897023,64,94
1614826169.912796,64,94
1614826169.923701,23,94
1614826169.939051,41,94
1614826169.950057,39,94
1614826169.955084,27,94
1614826169.977907,36,94
1614826169.992834,32,94
1614826170.001714,41,94
1614826170.006912,48,94
1614826170.0303628,80,94
1614826170.04639,82,94
1614826170.061253,27,94
1614826170.072533,69,94
1614826170.083179,42,94
1614826170.093769,16,94
1614826170.107706,85,94
1614826170.122081,60,94
1614826170.1364758,71,94
1614826170.1487072,80,94
1614826170.1487072,80,94
1614826170.182762,77,94
1614826170.197845,107,77
1614826170.212984,96,77
1614826170.22809,58,77
1614826170.238785,45,77
1614826170.254306,33,77
1614826170.266072,81,77
1614826170.280997,73,77
1614826170.295821,98,77
1614826170.310785,86,77
1614826170.325654,41,77
1614826170.341075,48,77
1614826170.355808,49,77
1614826170.371059,82,77
1614826170.3817,50,77
1614826170.397099,93,77
1614826170.412349,6,77
1614826170.4233139,18,77
1614826170.435561,45,77
1614826170.4465659,87,77
1614826170.4465659,87,77
1614826170.477937,101,77
1614826170.488854,147,77
1614826170.50392,92,77
1614826170.519038,60,77
1614826170.534465,40,77
1614826170.549185,20,77
1614826170.564151,69,77
1614826170.579272,52,77
1614826170.595952,85,77
1614826170.6114938,68,77
1614826170.622433,80,77
1614826170.637523,80,77
1614826170.65246,51,77
1614826170.66765,53,77
1614826170.679431,59,77
1614826170.6908002,81,77
1614826170.7058291,55,77
1614826170.718124,8,77
