timestamp,raw_value,attention
1614825595.135689,58,16
1614825595.15079,107,16
1614825595.156003,10,16
1614825595.156003,10,16
1614825595.156003,10,16
1614825595.156003,10,16
1614825595.156003,10,16
1614825595.156003,10,16
1614825595.156003,10,16
1614825595.244184,-30,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.253831,-18,16
1614825595.353775,65,14
1614825595.3674161,114,14
1614825595.372236,106,14
1614825595.372236,106,14
1614825595.372236,106,14
1614825595.413215,83,14
1614825595.423312,28,14
1614825595.433794,33,14
1614825595.433794,33,14
1614825595.433794,33,14
1614825595.4680052,1,14
1614825595.480389,129,14
1614825595.482413,108,14
1614825595.482413,108,14
1614825595.482413,108,14
1614825595.529875,28,14
1614825595.542159,86,14
1614825595.54537,91,14
1614825595.54537,91,14
1614825595.5799801,37,14
1614825595.5799801,37,14
1614825595.5799801,37,14
1614825595.5799801,37,14
1614825595.6278248,60,14
1614825595.638849,77,14
1614825595.6523972,45,14
1614825595.666114,53,14
1614825595.666114,53,14
1614825595.666114,53,14
1614825595.666114,53,14
1614825595.7155252,-7,14
1614825595.7289028,128,14
1614825595.732522,112,14
1614825595.732522,112,14
1614825595.732522,112,14
1614825595.776761,36,14
1614825595.787402,26,14
1614825595.7986062,35,14
1614825595.7986062,35,14
1614825595.7986062,35,14
1614825595.8350809,-13,14
1614825595.8350809,-13,14
1614825595.8350809,-13,14
1614825595.8350809,-13,14
1614825595.887004,118,14
1614825595.893897,89,14
1614825595.893897,89,14
1614825595.9232981,100,14
1614825595.934241,22,14
1614825595.948568,-14,14
1614825595.9605088,6,14
1614825595.971175,69,14
1614825595.9786592,82,14
1614825595.9786592,82,14
1614825595.9786592,82,14
1614825596.023921,7,14
1614825596.0337322,56,14
1614825596.047439,54,14
1614825596.054948,56,14
1614825596.054948,56,14
1614825596.054948,56,14
1614825596.0972328,82,14
1614825596.1076422,107,14
1614825596.118711,75,14
1614825596.118711,75,14
1614825596.118711,75,14
1614825596.154989,82,14
1614825596.154989,82,14
1614825596.154989,82,14
1614825596.1963542,69,14
1614825596.209976,121,14
1614825596.221133,99,14
1614825596.2323468,71,14
1614825596.2438421,66,14
1614825596.2584152,86,14
1614825596.271188,54,14
1614825596.282183,20,14
