timestamp,raw_value,attention
1614303437.755605,70,64
1614303437.766797,53,64
1614303437.781774,65,64
1614303437.793043,72,64
1614303437.8043609,37,64
1614303437.815514,-10,64
1614303437.827138,55,64
1614303437.834293,55,64
1614303437.845887,112,53
1614303437.8579369,124,53
1614303437.868603,76,53
1614303437.879788,60,53
1614303437.891017,25,53
1614303437.902847,32,53
1614303437.913836,25,53
1614303437.921498,36,53
1614303437.932655,48,53
1614303437.9460092,74,53
1614303437.957385,108,53
1614303437.965397,93,53
1614303437.9767601,97,53
1614303437.988225,67,53
1614303437.995766,43,53
1614303438.0072792,53,53
1614303438.019207,48,53
1614303438.019207,48,53
1614303438.040899,107,53
1614303438.051208,122,53
1614303438.063513,89,53
1614303438.0750551,7,53
1614303438.086905,16,53
1614303438.094888,96,53
1614303438.105896,53,53
1614303438.120838,28,53
1614303438.128305,84,53
1614303438.140151,65,53
1614303438.15087,87,53
1614303438.162733,35,53
1614303438.173562,43,53
1614303438.184864,85,53
1614303438.196088,93,53
1614303438.2071402,115,53
1614303438.218708,66,53
1614303438.226481,40,53
1614303438.237321,65,53
1614303438.249832,58,53
1614303438.25754,87,53
1614303438.25754,87,53
1614303438.280658,-10,53
1614303438.293663,45,53
1614303438.3034391,96,53
1614303438.314653,54,53
1614303438.3228328,93,53
1614303438.3228328,93,53
1614303438.3228328,93,53
1614303438.3228328,93,53
1614303438.3228328,93,53
1614303438.380506,107,53
1614303438.391927,83,53
1614303438.3993971,41,53
1614303438.414371,59,53
1614303438.422237,83,53
1614303438.4334788,44,53
1614303438.44519,34,53
1614303438.455997,42,53
1614303438.463545,12,53
1614303438.475061,69,53
1614303438.486169,59,53
1614303438.497495,50,53
1614303438.5086741,51,53
1614303438.520753,90,53
1614303438.532106,68,53
1614303438.539815,13,53
1614303438.549469,70,53
1614303438.549469,70,53
1614303438.576801,115,53
1614303438.584445,115,53
1614303438.595785,81,53
1614303438.6078458,68,53
1614303438.6147609,61,53
1614303438.6203609,53,53
1614303438.6203609,53,53
1614303438.655678,18,53
1614303438.664937,65,53
1614303438.6702652,69,53
1614303438.681482,105,53
1614303438.689856,57,53
1614303438.7009192,57,53
1614303438.7118988,52,53
1614303438.719692,58,53
1614303438.7313862,41,53
1614303438.742302,44,53
1614303438.753904,86,53
1614303438.764826,77,53
1614303438.777228,90,53
1614303438.788276,65,53
1614303438.800107,77,53
1614303438.811019,38,53
1614303438.8222668,28,53
1614303438.833753,97,53
1614303438.844915,124,51
1614303438.852473,107,51
1614303438.863758,36,51
1614303438.8743439,83,51
1614303438.886005,43,51
1614303438.8933911,92,51
1614303438.898551,85,51
1614303438.898551,85,51
1614303438.925385,57,51
1614303438.932543,52,51
1614303438.932543,52,51
1614303438.932543,52,51
1614303438.932543,52,51
1614303438.932543,52,51
1614303438.932543,52,51
1614303438.996052,54,51
1614303439.008684,80,51
1614303439.010701,88,51
1614303439.010701,88,51
1614303439.010701,88,51
1614303439.05021,68,51
1614303439.06236,91,51
1614303439.07093,118,51
1614303439.078306,83,51
1614303439.078306,83,51
1614303439.078306,83,51
1614303439.111548,80,51
1614303439.1213691,13,51
1614303439.13606,83,51
1614303439.139782,90,51
1614303439.139782,90,51
1614303439.168673,117,51
1614303439.179934,64,51
1614303439.19154,65,51
1614303439.203604,34,51
1614303439.214734,82,51
1614303439.2193,80,51
1614303439.2193,80,51
1614303439.2482402,82,51
1614303439.255479,70,51
1614303439.268199,34,51
1614303439.2795148,25,51
1614303439.29391,43,51
1614303439.304852,41,51
1614303439.3123899,32,51
1614303439.319912,41,51
1614303439.319912,41,51
1614303439.319912,41,51
1614303439.3584058,59,51
1614303439.368555,77,51
1614303439.3791292,104,51
1614303439.3897998,39,51
1614303439.4011562,69,51
1614303439.4011562,69,51
1614303439.4011562,69,51
1614303439.435103,74,51
1614303439.4450948,72,51
1614303439.456018,98,51
1614303439.463561,108,51
1614303439.463561,108,51
1614303439.463561,108,51
1614303439.504522,107,51
1614303439.5145411,98,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.521749,115,51
1614303439.617897,80,51
1614303439.617897,80,51
1614303439.617897,80,51
1614303439.617897,80,51
1614303439.617897,80,51
1614303439.617897,80,51
1614303439.687108,40,51
1614303439.690955,69,51
1614303439.690955,69,51
1614303439.690955,69,51
1614303439.734459,119,51
1614303439.746892,75,51
1614303439.7583628,50,51
1614303439.765735,38,51
1614303439.778317,12,51
1614303439.789164,45,51
1614303439.800778,39,51
1614303439.811998,32,51
1614303439.820687,23,51
1614303439.820687,23,51
1614303439.848038,37,51
1614303439.8593972,57,67
1614303439.8670049,93,67
1614303439.8782048,83,67
1614303439.88692,121,67
1614303439.893991,57,67
1614303439.9047701,58,67
1614303439.915905,68,67
1614303439.920219,69,67
1614303439.939711,80,67
1614303439.950509,74,67
1614303439.954655,93,67
1614303439.96348,55,67
1614303439.96348,55,67
1614303439.96348,55,67
1614303439.9965508,43,67
1614303440.009682,80,67
1614303440.021043,41,67
1614303440.024789,56,67
1614303440.024789,56,67
1614303440.024789,56,67
1614303440.067612,89,67
1614303440.075912,26,67
1614303440.075912,26,67
1614303440.075912,26,67
1614303440.075912,26,67
1614303440.119684,41,67
1614303440.12326,29,67
1614303440.12326,29,67
1614303440.12326,29,67
1614303440.163581,84,67
1614303440.170248,84,67
1614303440.178436,42,67
1614303440.1945548,53,67
1614303440.205771,83,67
1614303440.21327,65,67
1614303440.22853,40,67
1614303440.2359822,56,67
1614303440.248436,71,67
1614303440.259477,32,67
1614303440.267096,8,67
1614303440.278927,40,67
1614303440.289684,61,67
1614303440.3010292,60,67
1614303440.312087,57,67
1614303440.325245,83,67
1614303440.331006,82,67
1614303440.331006,82,67
1614303440.331006,82,67
1614303440.36756,89,67
1614303440.3777258,67,67
1614303440.389029,105,67
1614303440.39619,115,67
1614303440.39619,115,67
1614303440.39619,115,67
1614303440.432238,137,67
1614303440.432238,137,67
1614303440.432238,137,67
1614303440.432238,137,67
1614303440.432238,137,67
1614303440.491337,132,67
1614303440.501559,22,67
1614303440.514025,82,67
1614303440.517097,69,67
1614303440.517097,69,67
1614303440.517097,69,67
1614303440.558004,66,67
1614303440.569435,40,67
1614303440.577124,86,67
1614303440.577124,86,67
1614303440.577124,86,67
1614303440.612575,67,67
1614303440.626119,54,67
1614303440.634541,73,67
1614303440.642155,98,67
1614303440.642155,98,67
1614303440.642155,98,67
1614303440.6770911,87,67
1614303440.6902359,85,67
1614303440.698619,68,67
1614303440.702292,39,67
1614303440.702292,39,67
1614303440.702292,39,67
1614303440.745488,57,67
1614303440.745488,57,67
1614303440.745488,57,67
1614303440.745488,57,67
1614303440.745488,57,67
1614303440.745488,57,67
1614303440.804978,64,67
1614303440.804978,64,67
1614303440.828448,84,67
1614303440.828448,84,67
1614303440.828448,84,67
1614303440.8654451,69,67
1614303440.875817,73,60
1614303440.879745,73,60
1614303440.879745,73,60
1614303440.879745,73,60
1614303440.9199018,48,60
1614303440.933574,76,60
1614303440.938405,85,60
1614303440.951762,115,60
1614303440.9635699,84,60
1614303440.974518,97,60
1614303440.9855459,45,60
1614303440.9970272,20,60
1614303441.0046651,13,60
1614303441.015985,1,60
1614303441.0207858,24,60
1614303441.042992,42,60
1614303441.050763,49,60
1614303441.064951,97,60
1614303441.07294,65,60
1614303441.084685,81,60
1614303441.092227,53,60
1614303441.107292,16,60
1614303441.114988,19,60
1614303441.125988,49,60
1614303441.125988,49,60
1614303441.125988,49,60
1614303441.160087,61,60
1614303441.1701171,93,60
1614303441.1808472,52,60
1614303441.1883578,66,60
1614303441.1883578,66,60
1614303441.1883578,66,60
1614303441.222432,37,60
1614303441.222432,37,60
1614303441.2439418,138,60
1614303441.2559528,91,60
1614303441.2559528,91,60
1614303441.2559528,91,60
1614303441.2913332,84,60
1614303441.301777,68,60
1614303441.305196,58,60
1614303441.305196,58,60
1614303441.305196,58,60
1614303441.305196,58,60
1614303441.357261,104,60
1614303441.367935,70,60
1614303441.3793972,20,60
1614303441.386911,60,60
1614303441.398699,83,60
1614303441.409636,82,60
1614303441.418195,106,60
1614303441.430023,107,60
1614303441.441047,51,60
1614303441.4526238,23,60
1614303441.45799,11,60
1614303441.473241,-27,60
1614303441.489095,39,60
1614303441.499702,97,60
1614303441.5109491,113,60
1614303441.519576,80,60
1614303441.530964,69,60
1614303441.5417259,80,60
1614303441.5538611,-2,60
1614303441.564506,-6,60
1614303441.575996,34,60
1614303441.587121,85,60
1614303441.598928,58,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.611657,25,60
1614303441.7264059,72,60
1614303441.736922,73,60
1614303441.740713,69,60
1614303441.740713,69,60
1614303441.740713,69,60
1614303441.782358,39,60
1614303441.792324,34,60
1614303441.802201,38,60
1614303441.813178,33,60
1614303441.8209321,5,60
1614303441.8209321,5,60
1614303441.8209321,5,60
1614303441.860512,36,60
1614303441.873507,93,56
1614303441.878339,90,56
1614303441.878339,90,56
1614303441.878339,90,56
1614303441.878339,90,56
1614303441.921906,69,56
1614303441.9253051,43,56
1614303441.9253051,43,56
1614303441.9253051,43,56
1614303441.9253051,43,56
1614303441.9253051,43,56
1614303441.9873521,76,56
1614303441.993939,89,56
1614303442.000609,89,56
1614303442.000609,89,56
1614303442.000609,89,56
1614303442.041209,92,56
1614303442.051328,67,56
1614303442.0622878,109,56
1614303442.0660532,74,56
1614303442.0660532,74,56
1614303442.0660532,74,56
1614303442.0660532,74,56
1614303442.116975,74,56
1614303442.125777,53,56
