timestamp,raw_value,attention
1614303317.5493388,58,53
1614303317.5632782,52,53
1614303317.574538,73,53
1614303317.5857868,104,53
1614303317.5857868,104,53
1614303317.5857868,104,53
1614303317.61856,89,53
1614303317.631792,23,53
1614303317.6406112,28,53
1614303317.644454,17,53
1614303317.644454,17,53
1614303317.644454,17,53
1614303317.690005,76,53
1614303317.698869,40,53
1614303317.708351,40,53
1614303317.708351,40,53
1614303317.708351,40,53
1614303317.7423282,34,53
1614303317.7456372,29,53
1614303317.7456372,29,53
1614303317.7456372,29,53
1614303317.7456372,29,53
1614303317.7456372,29,53
1614303317.807277,22,53
1614303317.817336,83,53
1614303317.829229,84,53
1614303317.835892,109,53
1614303317.835892,109,53
1614303317.835892,109,53
1614303317.871936,93,53
1614303317.883453,48,53
1614303317.894347,73,53
1614303317.898274,80,53
1614303317.898274,80,53
1614303317.9301388,55,53
1614303317.9301388,55,53
1614303317.9301388,55,53
1614303317.9301388,55,53
1614303317.9761128,41,53
1614303317.989462,41,53
1614303317.9942558,64,53
1614303318.0061738,45,53
1614303318.0061738,45,53
1614303318.0061738,45,53
1614303318.040732,48,53
1614303318.044756,37,53
1614303318.044756,37,53
1614303318.044756,37,53
1614303318.044756,37,53
1614303318.044756,37,53
1614303318.044756,37,53
1614303318.115031,76,53
1614303318.12305,84,53
1614303318.12305,84,53
1614303318.12305,84,53
1614303318.166731,69,53
1614303318.178539,75,53
1614303318.185854,59,53
1614303318.185854,59,53
1614303318.185854,59,53
1614303318.221235,51,53
1614303318.23408,51,53
1614303318.243016,38,53
1614303318.247041,60,53
1614303318.247041,60,53
1614303318.247041,60,53
1614303318.289004,58,53
1614303318.2967548,56,53
1614303318.3069088,34,53
1614303318.3177412,43,53
1614303318.324536,26,53
1614303318.324536,26,53
1614303318.324536,26,53
1614303318.3642461,8,53
1614303318.374617,28,53
1614303318.385833,38,53
1614303318.385833,38,53
1614303318.385833,38,53
1614303318.385833,38,53
1614303318.420963,35,53
1614303318.420963,35,53
1614303318.420963,35,53
1614303318.462848,59,53
1614303318.46987,51,53
1614303318.4817832,65,53
1614303318.494313,25,53
1614303318.50586,43,53
1614303318.513401,44,53
1614303318.513401,44,53
1614303318.513401,44,53
1614303318.513401,44,53
1614303318.550671,38,53
1614303318.56178,109,53
1614303318.5711,33,53
1614303318.5711,33,53
1614303318.5868301,26,53
1614303318.5868301,26,53
1614303318.5868301,26,53
1614303318.623565,28,53
1614303318.623565,28,53
1614303318.623565,28,53
1614303318.658227,20,53
1614303318.672137,43,53
1614303318.679303,48,53
1614303318.6895459,67,53
1614303318.701421,54,53
1614303318.704594,67,53
1614303318.704594,67,53
1614303318.704594,67,53
1614303318.7453902,88,53
1614303318.756018,28,53
1614303318.765311,64,53
1614303318.776397,86,53
1614303318.783938,54,53
1614303318.795274,70,53
1614303318.80687,25,53
1614303318.8181639,42,53
1614303318.829844,18,53
1614303318.837348,9,53
1614303318.848971,50,64
1614303318.861212,86,64
1614303318.873313,89,64
1614303318.878874,104,64
1614303318.878874,104,64
1614303318.9052238,52,64
1614303318.9167628,45,64
1614303318.9275808,29,64
1614303318.9275808,29,64
1614303318.9517498,66,64
1614303318.96291,113,64
1614303318.974161,91,64
1614303318.985227,48,64
1614303318.9972942,55,64
1614303319.008427,89,64
1614303319.0194821,108,64
1614303319.030708,77,64
1614303319.041229,71,64
1614303319.0555499,73,64
1614303319.0673301,53,64
1614303319.078541,13,64
1614303319.089663,71,64
1614303319.0972931,87,64
1614303319.1094038,50,64
1614303319.120484,54,64
1614303319.133369,7,64
1614303319.141172,41,64
1614303319.1487339,65,64
1614303319.1636648,76,64
1614303319.174556,37,64
1614303319.182046,90,64
1614303319.197289,74,64
1614303319.2087831,65,64
1614303319.217331,58,64
1614303319.217331,58,64
1614303319.217331,58,64
1614303319.217331,58,64
1614303319.262248,49,64
1614303319.273144,21,64
1614303319.2844422,107,64
1614303319.295679,91,64
1614303319.306954,38,64
1614303319.316413,19,64
1614303319.3278499,23,64
1614303319.339276,87,64
1614303319.347185,101,64
1614303319.358224,104,64
1614303319.366519,90,64
1614303319.380688,42,64
1614303319.388177,50,64
1614303319.3958452,32,64
1614303319.410725,1,64
1614303319.418206,-3,64
1614303319.425673,44,64
1614303319.4373708,37,64
1614303319.448171,98,64
1614303319.460351,87,64
1614303319.4680698,103,64
1614303319.479028,56,64
1614303319.4905741,45,64
1614303319.501621,22,64
1614303319.5134091,12,64
1614303319.5256152,89,64
1614303319.5256152,89,64
1614303319.550656,109,64
1614303319.558329,84,64
1614303319.569323,138,64
1614303319.57728,86,64
1614303319.585,57,64
1614303319.596491,22,64
1614303319.607861,39,64
1614303319.619634,80,64
1614303319.627276,86,64
1614303319.641918,116,64
1614303319.6533508,83,64
1614303319.664393,39,64
1614303319.671948,66,64
1614303319.686753,-1,64
1614303319.697077,71,64
1614303319.708184,41,64
1614303319.7158651,90,64
1614303319.7158651,90,64
1614303319.7158651,90,64
1614303319.752129,132,64
1614303319.762492,75,64
1614303319.7730849,51,64
1614303319.780565,65,64
1614303319.780565,65,64
1614303319.780565,65,64
1614303319.814795,76,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.82185,45,64
1614303319.9173608,93,44
1614303319.9352908,39,44
1614303319.9394739,66,44
1614303319.9394739,66,44
1614303319.9394739,66,44
1614303319.980418,50,44
1614303319.9906728,44,44
1614303320.001295,18,44
1614303320.006814,37,44
1614303320.006814,37,44
1614303320.006814,37,44
1614303320.006814,37,44
1614303320.0549068,59,44
1614303320.0650198,35,44
