timestamp,raw_value,attention
1614303047.130572,28,74
1614303047.130572,28,74
1614303047.130572,28,74
1614303047.159617,87,74
1614303047.167029,112,74
1614303047.177971,83,74
1614303047.1857321,67,74
1614303047.197025,60,74
1614303047.20436,21,74
1614303047.215818,122,74
1614303047.216129,113,74
1614303047.233828,115,74
1614303047.24095,6,74
1614303047.252609,36,74
1614303047.256128,38,74
1614303047.2709131,54,74
1614303047.282201,103,74
1614303047.2886982,57,74
1614303047.2886982,57,74
1614303047.2886982,57,74
1614303047.2886982,57,74
1614303047.327542,28,74
1614303047.338565,84,74
1614303047.348477,56,74
1614303047.3522828,36,74
1614303047.3522828,36,74
1614303047.3522828,36,74
1614303047.385449,52,74
1614303047.395071,112,74
1614303047.399851,75,74
1614303047.4111402,67,74
1614303047.4111402,67,74
1614303047.4111402,67,74
1614303047.4111402,67,74
1614303047.449704,49,74
1614303047.457152,6,74
1614303047.457152,6,74
1614303047.457152,6,74
1614303047.457152,6,74
1614303047.457152,6,74
1614303047.457152,6,74
1614303047.5164878,105,74
1614303047.5264902,45,74
1614303047.5375848,52,74
1614303047.545818,66,74
1614303047.55306,57,74
1614303047.564311,118,74
1614303047.5755572,66,74
1614303047.583064,48,74
1614303047.590591,59,74
1614303047.598048,69,74
1614303047.6095622,43,74
1614303047.620599,19,74
1614303047.627646,22,74
1614303047.637909,3,74
1614303047.648603,42,74
1614303047.652703,49,74
1614303047.652703,49,74
1614303047.652703,49,74
1614303047.687854,52,74
1614303047.69806,52,74
1614303047.7090309,48,74
1614303047.716264,32,74
1614303047.716264,32,74
1614303047.716264,32,74
1614303047.716264,32,74
1614303047.752338,13,74
1614303047.756771,18,74
1614303047.756771,18,74
1614303047.756771,18,74
1614303047.756771,18,74
1614303047.756771,18,74
1614303047.756771,18,74
1614303047.820117,148,74
1614303047.826766,91,74
1614303047.8339682,130,74
1614303047.8339682,130,74
1614303047.8339682,130,74
1614303047.8339682,130,74
1614303047.874238,131,70
1614303047.88398,80,70
1614303047.894731,41,70
1614303047.902291,4,70
1614303047.902291,4,70
1614303047.902291,4,70
1614303047.902291,4,70
1614303047.935324,32,70
1614303047.940083,34,70
1614303047.940083,34,70
1614303047.940083,34,70
1614303047.940083,34,70
1614303047.940083,34,70
1614303047.940083,34,70
1614303048.006183,42,70
1614303048.016507,83,70
1614303048.0194402,98,70
1614303048.0194402,98,70
1614303048.0194402,98,70
1614303048.0194402,98,70
1614303048.06228,83,70
1614303048.0729868,35,70
1614303048.079519,69,70
1614303048.0900621,2,70
1614303048.10121,50,70
1614303048.109354,65,70
1614303048.120553,8,70
1614303048.128886,53,70
1614303048.139588,67,70
1614303048.146252,19,70
1614303048.15635,70,70
