timestamp,raw_value,attention
1614303347.609371,68,53
1614303347.6206,59,53
1614303347.63205,72,53
1614303347.643577,60,53
1614303347.6553972,54,53
1614303347.6669781,130,53
1614303347.679244,88,53
1614303347.690241,80,53
1614303347.701029,25,53
1614303347.7121239,35,53
1614303347.72358,65,53
1614303347.728102,76,53
1614303347.728102,76,53
1614303347.7541828,71,53
1614303347.7665448,58,53
1614303347.7768772,50,53
1614303347.789303,45,53
1614303347.79694,37,53
1614303347.808109,60,53
1614303347.819583,52,53
1614303347.830812,45,53
1614303347.842179,43,60
1614303347.85006,68,60
1614303347.860669,76,60
1614303347.8727481,73,60
1614303347.879932,88,60
1614303347.894529,101,60
1614303347.90605,86,60
1614303347.91698,65,60
1614303347.928909,81,60
1614303347.939758,42,60
1614303347.9508128,41,60
1614303347.9582741,23,60
1614303347.970059,38,60
1614303347.980818,88,60
1614303347.9922361,130,60
1614303348.003062,99,60
1614303348.014733,100,60
1614303348.018929,96,60
1614303348.018929,96,60
1614303348.048031,96,60
1614303348.0569448,59,60
1614303348.0569448,59,60
1614303348.080439,66,60
1614303348.089808,86,60
1614303348.104695,23,60
1614303348.112601,72,60
1614303348.124204,41,60
1614303348.1317382,54,60
1614303348.143688,68,60
1614303348.154583,70,60
1614303348.169583,55,60
1614303348.1812532,125,60
1614303348.191999,107,60
1614303348.1995971,77,60
1614303348.211456,60,60
1614303348.2190971,41,60
1614303348.230218,26,60
1614303348.241836,44,60
1614303348.253935,71,60
1614303348.264423,123,60
1614303348.276124,73,60
1614303348.287571,74,60
1614303348.298959,83,60
1614303348.309698,55,60
1614303348.321731,34,60
1614303348.325917,41,60
1614303348.325917,41,60
1614303348.355895,57,60
1614303348.366828,89,60
1614303348.374215,87,60
1614303348.38543,38,60
1614303348.396658,39,60
1614303348.40868,26,60
1614303348.41955,54,60
1614303348.427663,44,60
1614303348.438143,91,60
1614303348.448478,120,60
1614303348.459743,96,60
1614303348.463428,89,60
1614303348.463428,89,60
1614303348.463428,89,60
1614303348.503096,28,60
1614303348.514923,87,60
1614303348.514923,87,60
1614303348.514923,87,60
1614303348.514923,87,60
1614303348.555778,72,60
1614303348.566923,71,60
1614303348.57852,36,60
1614303348.57852,36,60
1614303348.57852,36,60
1614303348.6115441,108,60
1614303348.6201751,69,60
1614303348.626755,60,60
1614303348.626755,60,60
1614303348.626755,60,60
1614303348.6673641,68,60
1614303348.674415,72,60
1614303348.684561,105,60
1614303348.6872032,108,60
1614303348.6872032,108,60
1614303348.6872032,108,60
1614303348.72869,114,60
1614303348.738699,141,60
1614303348.7449,-1,60
1614303348.7449,-1,60
1614303348.7449,-1,60
1614303348.7878358,76,60
1614303348.7987041,80,60
1614303348.8063822,89,60
1614303348.818272,37,60
1614303348.829383,11,60
1614303348.840779,4,67
1614303348.852246,-22,67
1614303348.863147,19,67
1614303348.870806,26,67
1614303348.882445,102,67
1614303348.897441,102,67
1614303348.908276,83,67
1614303348.920136,80,67
1614303348.929156,81,67
1614303348.929156,81,67
1614303348.953012,92,67
1614303348.96454,64,67
1614303348.976585,89,67
1614303348.987982,28,67
1614303348.9996228,40,67
1614303349.010195,42,67
1614303349.02145,52,67
1614303349.032717,76,67
1614303349.0447512,68,67
1614303349.055413,43,67
1614303349.067264,73,67
1614303349.078296,113,67
1614303349.089984,88,67
1614303349.1008792,141,67
1614303349.108325,72,67
1614303349.120704,52,67
1614303349.130636,58,67
1614303349.144686,73,67
1614303349.156658,69,67
1614303349.168107,58,67
1614303349.175622,92,67
1614303349.187241,73,67
1614303349.198438,66,67
1614303349.205898,50,67
1614303349.217912,43,67
1614303349.22652,28,67
1614303349.22652,28,67
1614303349.2494211,55,67
1614303349.2604291,55,67
1614303349.271609,44,67
1614303349.2827468,93,67
1614303349.294076,112,67
1614303349.2987149,90,67
1614303349.3182578,42,67
1614303349.3294332,65,67
1614303349.340954,66,67
1614303349.352161,56,67
1614303349.363189,116,67
1614303349.374561,83,67
1614303349.3861918,39,67
1614303349.397037,20,67
1614303349.4087622,-7,67
1614303349.420083,16,67
1614303349.431165,85,67
1614303349.442029,38,67
1614303349.453734,88,67
1614303349.464601,90,67
1614303349.476183,98,67
1614303349.4839292,123,67
1614303349.495218,75,67
1614303349.5071502,32,67
1614303349.517992,17,67
1614303349.525517,17,67
1614303349.525517,17,67
1614303349.5545049,43,67
