timestamp,raw_value,attention
1614303618.078706,53,47
1614303618.091302,65,47
1614303618.092893,49,47
1614303618.1088011,56,47
1614303618.1088011,56,47
1614303618.1088011,56,47
1614303618.149651,58,47
1614303618.161228,74,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.165233,87,47
1614303618.2644181,107,47
1614303618.271533,66,47
1614303618.284288,71,47
1614303618.286855,42,47
1614303618.286855,42,47
1614303618.286855,42,47
1614303618.3278909,70,47
1614303618.3387148,32,47
1614303618.347153,74,47
1614303618.347153,74,47
1614303618.347153,74,47
1614303618.385045,65,47
1614303618.3957582,58,47
1614303618.4076319,60,47
1614303618.4076319,60,47
1614303618.4076319,60,47
1614303618.4076319,60,47
1614303618.453332,90,47
1614303618.465874,88,47
1614303618.4691641,56,47
1614303618.4691641,56,47
1614303618.4691641,56,47
1614303618.50893,40,47
1614303618.5167308,10,47
1614303618.5167308,10,47
1614303618.5167308,10,47
1614303618.5167308,10,47
1614303618.5624619,77,47
1614303618.574184,81,47
1614303618.5775979,52,47
1614303618.5965598,76,47
1614303618.6025229,35,47
1614303618.613788,42,47
1614303618.625084,67,47
1614303618.636409,65,47
1614303618.648476,43,47
1614303618.656441,61,47
1614303618.6675851,29,47
1614303618.679332,50,47
1614303618.691008,35,47
1614303618.702979,84,47
1614303618.7101052,37,47
1614303618.7219741,58,47
1614303618.729583,69,47
1614303618.737893,70,47
1614303618.737893,70,47
1614303618.757677,98,47
1614303618.7683918,101,47
1614303618.779692,55,47
1614303618.790998,36,47
1614303618.802686,100,47
1614303618.813538,18,47
1614303618.825711,76,47
1614303618.829845,74,47
1614303618.829845,74,47
1614303618.854573,71,47
1614303618.8712902,50,60
1614303618.881424,98,60
1614303618.892624,105,60
1614303618.903977,72,60
1614303618.915025,38,60
1614303618.915025,38,60
1614303618.915025,38,60
1614303618.947884,54,60
1614303618.9583402,60,60
1614303618.970083,51,60
1614303618.9739,38,60
1614303618.9739,38,60
1614303618.9739,38,60
1614303619.012664,56,60
1614303619.023308,81,60
1614303619.03529,72,60
1614303619.03529,72,60
1614303619.03529,72,60
1614303619.069205,83,60
1614303619.0813818,49,60
1614303619.0913339,27,60
1614303619.095169,39,60
1614303619.095169,39,60
1614303619.095169,39,60
1614303619.095169,39,60
1614303619.095169,39,60
1614303619.158647,119,60
1614303619.174525,36,60
1614303619.18514,59,60
1614303619.1967602,70,60
1614303619.2051,105,60
1614303619.215245,67,60
1614303619.23019,82,60
1614303619.242354,120,60
1614303619.253649,69,60
1614303619.262481,18,60
1614303619.2750878,50,60
1614303619.285679,12,60
1614303619.293459,40,60
1614303619.305274,93,60
1614303619.312822,141,60
1614303619.323841,147,60
1614303619.335615,148,60
1614303619.3463948,24,60
1614303619.358283,57,60
1614303619.369047,34,60
1614303619.376747,53,60
1614303619.3935518,4,60
1614303619.4078112,60,60
1614303619.416033,107,60
1614303619.4274619,54,60
1614303619.432051,52,60
1614303619.432051,52,60
1614303619.4572978,39,60
1614303619.468559,29,60
1614303619.480031,57,60
1614303619.491092,91,60
1614303619.502372,91,60
1614303619.510724,104,60
1614303619.521893,87,60
1614303619.53374,56,60
1614303619.54495,67,60
1614303619.556874,97,60
1614303619.565544,6,60
1614303619.5695622,-4,60
1614303619.5695622,-4,60
1614303619.597037,81,60
1614303619.608512,74,60
1614303619.6200058,102,60
1614303619.631516,44,60
1614303619.642951,-27,60
1614303619.653901,33,60
1614303619.665706,4,60
1614303619.676735,38,60
1614303619.6872551,105,60
1614303619.6985621,84,60
1614303619.709752,140,60
1614303619.7209961,99,60
1614303619.7296052,81,60
1614303619.7296052,81,60
1614303619.7296052,81,60
1614303619.761228,35,60
1614303619.776505,105,60
1614303619.7850509,117,60
1614303619.8006349,106,60
1614303619.807678,107,60
1614303619.819954,83,60
1614303619.82669,73,60
1614303619.8413749,39,61
1614303619.8531,120,61
1614303619.863887,58,61
1614303619.8757398,7,61
1614303619.890432,121,61
1614303619.9014888,65,61
1614303619.913027,22,61
1614303619.9242392,35,61
1614303619.936129,56,61
1614303619.947242,42,61
1614303619.9591439,61,61
1614303619.970096,80,61
1614303619.981836,67,61
1614303619.9928918,73,61
1614303620.004056,28,61
1614303620.015423,54,61
1614303620.0202339,54,61
1614303620.0202339,54,61
1614303620.0482419,103,61
1614303620.052968,124,61
1614303620.072106,84,61
1614303620.0822039,57,61
1614303620.096524,41,61
1614303620.1077619,83,61
1614303620.1077619,83,61
1614303620.130761,39,61
1614303620.142324,90,61
1614303620.1538272,89,61
1614303620.1651359,74,61
1614303620.176387,57,61
1614303620.188201,73,61
1614303620.19907,41,61
1614303620.211051,153,61
1614303620.2220402,123,61
1614303620.233648,113,61
1614303620.2450402,56,61
1614303620.256904,86,61
1614303620.267647,8,61
1614303620.279454,49,61
1614303620.290281,3,61
1614303620.301999,49,61
1614303620.312198,38,61
1614303620.3241642,92,61
1614303620.332748,52,61
1614303620.332748,52,61
1614303620.360044,68,61
1614303620.367706,81,61
1614303620.378953,101,61
1614303620.390213,106,61
1614303620.403378,50,61
1614303620.410953,73,61
1614303620.410953,73,61
1614303620.435005,96,61
1614303620.4439418,52,61
1614303620.453738,24,61
1614303620.4650612,65,61
1614303620.4763799,49,61
1614303620.487988,74,61
1614303620.498843,55,61
1614303620.510011,89,61
1614303620.518461,57,61
1614303620.5287008,92,61
1614303620.541169,41,61
1614303620.5510762,38,61
1614303620.5585752,83,61
1614303620.5702982,10,61
1614303620.581328,84,61
1614303620.5932832,98,61
1614303620.603863,97,61
1614303620.6160052,121,61
1614303620.6259258,86,61
1614303620.6259258,86,61
1614303620.6259258,86,61
1614303620.6259258,86,61
1614303620.6259258,86,61
1614303620.6259258,86,61
1614303620.6259258,86,61
1614303620.707177,72,61
1614303620.7163022,73,61
1614303620.727707,89,61
1614303620.73893,50,61
1614303620.749849,64,61
1614303620.761318,54,61
1614303620.772738,75,61
1614303620.78388,71,61
1614303620.7951128,58,61
1614303620.806808,81,61
1614303620.817051,52,61
1614303620.8289092,65,61
1614303620.83988,56,61
1614303620.847408,55,61
1614303620.862359,82,61
1614303620.874079,103,61
1614303620.8848882,71,61
1614303620.896595,48,61
1614303620.907546,45,61
1614303620.91928,8,61
1614303620.9272718,-2,61
1614303620.9272718,-2,61
1614303620.9272718,-2,61
1614303620.9611032,49,61
1614303620.969394,74,61
1614303620.979768,74,61
1614303620.9912,42,61
1614303621.0028942,68,61
1614303621.0140212,92,61
1614303621.025565,60,61
1614303621.036433,59,61
1614303621.0481951,53,61
1614303621.059077,86,61
1614303621.0709481,104,61
1614303621.0818439,72,61
1614303621.09374,53,61
1614303621.104791,82,61
1614303621.116897,33,61
1614303621.12758,24,61
1614303621.139339,34,61
1614303621.1501272,39,61
1614303621.157702,70,61
1614303621.168886,32,61
1614303621.180595,89,61
1614303621.1918778,100,61
1614303621.203305,90,61
1614303621.2136571,96,61
1614303621.22801,48,61
1614303621.22801,48,61
1614303621.22801,48,61
1614303621.2615309,65,61
1614303621.2724679,54,61
1614303621.283974,51,61
1614303621.295986,48,61
1614303621.309599,43,61
1614303621.324152,102,61
1614303621.332598,123,61
1614303621.3438349,151,61
1614303621.355136,74,61
1614303621.366327,70,61
1614303621.37764,86,61
1614303621.390204,69,61
1614303621.390204,69,61
1614303621.4113479,28,61
1614303621.419183,53,61
1614303621.430646,128,61
1614303621.442177,108,61
1614303621.454268,51,61
1614303621.465268,6,61
1614303621.476367,88,61
